"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')","('Win Shares (Best to Worst)', '8')","('Win Shares (Best to Worst)', '9')","('Win Shares (Best to Worst)', '10')","('Win Shares (Best to Worst)', '11')","('Win Shares (Best to Worst)', '12')","('Win Shares (Best to Worst)', '13')"
Marcus Thornton,,4.0,3.8,3.5,3.2,2.0,1.7,1.2,0.5,,,,,
Gerald Henderson,87.4,3.6,3.6,3.3,2.4,2.0,2.0,1.0,0.4,,,,,
Alex Caruso,87.0,4.9,3.9,3.6,2.4,2.3,2.0,1.0,0.5,,,,,
Maurice Evans,86.4,4.9,3.8,3.2,3.1,2.6,2.1,1.7,0.3,0.1,,,,
Kelvin Ransey,86.2,3.8,3.7,3.4,2.8,2.2,2.0,,,,,,,
Carlos Delfino,86.1,4.8,4.0,3.5,3.5,2.9,2.4,1.0,0.5,,,,,
MickaÃ«l PiÃ©trus,85.6,3.6,3.6,3.0,2.8,2.1,1.5,1.3,1.2,0.6,0.0,,,
Darnell Valentine,85.3,5.0,3.7,3.4,3.1,1.7,1.7,1.5,1.1,1.0,,,,
Calbert Cheaney,85.0,4.1,3.9,3.2,3.2,2.8,2.3,1.2,1.2,0.8,0.4,0.3,0.0,-0.1
Carlos Arroyo,84.9,4.7,3.7,2.8,2.7,2.5,1.7,1.3,0.4,0.3,,,,
Malik Beasley,84.9,4.7,4.5,3.5,2.9,1.4,1.3,1.2,0.3,0.2,,,,
