"('Thru 11 Years', 'Player')","('Thru 11 Years', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')","('Win Shares (Best to Worst)', '8')","('Win Shares (Best to Worst)', '9')","('Win Shares (Best to Worst)', '10')","('Win Shares (Best to Worst)', '11')"
Keith Bogans,,4.9,3.6,2.6,2.5,2.3,1.7,1.4,1.3,0.1,0.1,0.0
Jim Price,91.4,5.0,3.7,2.7,2.6,2.4,1.8,1.5,,,,
Carlos Arroyo,91.3,4.7,3.7,2.8,2.7,2.5,1.7,1.3,0.4,0.3,,
Herm Gilliam,88.9,4.9,3.4,2.9,2.7,2.5,2.5,1.4,0.4,,,
Danny Young,88.6,4.8,3.0,2.9,2.4,1.9,1.8,1.8,1.4,0.2,-0.1,
Kevin Huerter,88.5,4.9,3.6,2.9,2.8,1.9,1.6,1.5,,,,
Greg Buckner,87.4,4.8,3.8,3.1,2.3,2.2,2.0,1.8,0.3,0.3,0.1,
Tom Henderson,87.1,4.7,4.5,3.1,2.4,2.1,2.1,1.5,1.3,0.4,,
Anthony Morrow,86.9,5.7,3.5,3.0,3.0,2.4,1.9,1.7,1.2,0.7,,
Alex Caruso,86.6,4.9,3.9,3.6,2.4,2.3,2.0,1.0,0.5,,,
Johnny Egan,86.3,5.1,3.6,3.2,3.1,3.1,2.0,1.4,1.3,0.5,0.5,0.0
