"('Unnamed: 0_level_0', 'Season')","('Unnamed: 1_level_0', 'Age')","('Unnamed: 2_level_0', 'Team')","('Unnamed: 3_level_0', 'Lg')","('Unnamed: 4_level_0', 'Pos')","('Unnamed: 5_level_0', 'G')","('Unnamed: 6_level_0', 'GS')","('Unnamed: 7_level_0', 'MP')","('Shooting %', 'FG%')","('Shooting %', '2P%')","('Shooting %', '3P%')","('Shooting %', 'eFG%')","('Shooting %', 'FT%')","('Shooting %', 'TS%')","('Shooting %', 'FTr')","('Shooting %', '3PAr')","('League-Adjusted', 'FG+')","('League-Adjusted', '2P+')","('League-Adjusted', '3P+')","('League-Adjusted', 'eFG+')","('League-Adjusted', 'FT+')","('League-Adjusted', 'TS+')","('League-Adjusted', 'FTr+')","('League-Adjusted', '3PAr+')","('Unnamed: 24_level_0', 'Awards')"
2007-08,27,ORL,NBA,SG,10.0,0.0,293.0,0.368,0.435,0.333,0.478,0.727,0.501,0.162,0.662,80.0,90.0,92.0,96.0,96.0,93.0,53.0,298.0,
,,,,,,,,,,,,,,,,,,,,,,,,
2009-10,29,SAS,NBA,SF,8.0,0.0,55.0,0.2,0.25,0.167,0.25,,0.25,0.0,0.6,43.0,51.0,47.0,50.0,,46.0,0.0,270.0,
2010-11,30,CHI,NBA,SG,16.0,16.0,307.0,0.406,0.3,0.424,0.587,0.25,0.579,0.058,0.855,88.0,62.0,118.0,118.0,33.0,107.0,19.0,386.0,
,,,,,,,,,,,,,,,,,,,,,,,,
2012-13,32,BRK,NBA,SG,2.0,0.0,23.0,0.0,,0.0,0.0,,0.0,0.0,1.0,0.0,,0.0,0.0,,0.0,0.0,411.0,
4 Yrs,4 Yrs,4 Yrs,4 Yrs,,36.0,16.0,678.0,0.372,0.378,0.369,0.51,0.6,0.517,0.101,0.75,81.0,78.0,103.0,102.0,79.0,96.0,33.0,338.0,
,,,,,,,,,,,,,,,,,,,,,,,,
CHI (1 Yr),CHI (1 Yr),CHI (1 Yr),CHI (1 Yr),,16.0,16.0,307.0,0.406,0.3,0.424,0.587,0.25,0.579,0.058,0.855,88.0,62.0,118.0,118.0,33.0,107.0,19.0,386.0,
ORL (1 Yr),ORL (1 Yr),ORL (1 Yr),ORL (1 Yr),,10.0,0.0,293.0,0.368,0.435,0.333,0.478,0.727,0.501,0.162,0.662,80.0,90.0,92.0,96.0,96.0,93.0,53.0,298.0,
SAS (1 Yr),SAS (1 Yr),SAS (1 Yr),SAS (1 Yr),,8.0,0.0,55.0,0.2,0.25,0.167,0.25,,0.25,0.0,0.6,43.0,51.0,47.0,50.0,,46.0,0.0,270.0,
BRK (1 Yr),BRK (1 Yr),BRK (1 Yr),BRK (1 Yr),,2.0,0.0,23.0,0.0,,0.0,0.0,,0.0,0.0,1.0,0.0,,0.0,0.0,,0.0,0.0,411.0,
