"('Thru 9 Years', 'Player')","('Thru 9 Years', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')","('Win Shares (Best to Worst)', '8')","('Win Shares (Best to Worst)', '9')"
Jason Kapono,,4.2,1.9,1.3,1.2,0.8,0.5,0.5,0.1,-0.2
Gus Gerard,89.2,4.3,1.9,1.5,1.3,1.3,0.5,0.3,,
Javonte Green,83.6,4.4,1.6,1.4,1.1,1.1,0.9,,,
Brian Cook,83.5,4.5,2.0,1.8,1.1,0.6,0.4,0.0,-0.1,-0.2
Marty Conlon,80.7,3.1,1.8,1.4,1.0,0.8,0.6,0.3,0.0,-0.1
Darren Daye,79.9,3.8,2.4,1.3,1.2,0.6,,,,
Cristiano FelÃ­cio,79.6,3.4,1.7,1.4,1.2,1.0,0.3,,,
Noah Vonleh,78.4,3.2,1.8,1.6,1.2,1.0,0.5,0.2,-0.1,
Darrell Arthur,76.8,3.8,2.3,1.7,1.7,1.1,0.9,0.7,0.3,0.0
Juancho HernangÃ³mez,75.3,3.0,1.8,1.1,0.9,0.9,0.7,0.4,,
Anthony Bonner,75.2,4.1,2.4,1.8,1.6,0.7,0.0,,,
