"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')"
Perry Jones,,1.5,0.2,0.0,,,
Brian Evans,90.4,1.5,0.1,0.1,,,
Michael Bradley,81.6,1.5,0.2,0.1,0.1,0.0,
Roy Rogers,81.1,1.4,0.4,-0.1,,,
Mario Bennett,80.3,1.5,0.5,0.0,-0.1,,
Stephen Howard,79.6,1.3,0.2,0.1,0.0,,
Damjan RudeÅ¾,77.2,1.3,0.1,0.1,,,
Qyntel Woods,73.2,1.3,0.2,0.0,-0.2,,
Red Morrison,72.9,1.7,0.5,0.0,,,
C.J. Kupec,72.0,1.5,0.5,-0.2,,,
Mark Pope,72.0,1.3,0.1,0.0,0.0,-0.1,-0.1
