"('Thru 3 Years', 'Player')","('Thru 3 Years', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')"
Orlando Johnson,,1.5,0.1,-0.2
Greg Grant,87.7,1.4,0.0,-0.1
Mike Evans,86.6,1.6,0.1,-0.1
Seth Curry,83.0,1.4,0.0,0.0
Davon Reed,81.0,1.6,0.1,-0.3
Doug Christie,80.7,1.4,0.1,-0.3
Bobby Wilson,80.0,1.6,0.2,-0.1
Kevin Edwards,78.5,1.6,0.3,-0.2
Tony Dumas,77.5,1.6,0.0,-0.3
Svi Mykhailiuk,76.1,1.6,0.3,-0.1
Nick Jones,75.3,1.3,0.2,-0.2
