"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')","('Win Shares (Best to Worst)', '8')","('Win Shares (Best to Worst)', '9')","('Win Shares (Best to Worst)', '10')"
DeJuan Blair,,4.8,4.6,4.0,3.4,2.2,0.1,-0.1,,,
Obi Toppin,87.1,4.8,4.3,3.9,2.1,1.5,,,,,
Paul Griffin,85.8,4.9,4.4,4.1,2.9,1.6,1.4,0.4,,,
Julius Keye,85.6,5.3,4.3,3.6,3.6,1.2,-0.2,,,,
Jaxson Hayes,84.7,5.1,3.9,3.7,3.5,2.5,1.5,,,,
Hakim Warrick,84.6,4.7,4.0,3.7,3.4,3.3,0.8,0.5,0.0,,
Scott May,83.8,5.4,4.2,3.1,2.4,2.2,0.1,-0.1,,,
Keon Clark,83.5,5.3,4.7,4.2,3.7,0.2,0.0,,,,
Nikola MirotiÄ,83.5,5.7,4.0,3.9,3.8,3.5,,,,,
Wayne Hightower,83.4,5.8,4.2,4.0,2.9,2.2,0.8,0.0,0.0,-0.2,-0.8
Danny Fortson,82.6,4.5,4.4,4.3,3.5,2.3,1.9,1.1,0.2,0.2,0.0
