"('Thru 7 Years', 'Player')","('Thru 7 Years', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')"
DeJuan Blair,,4.8,4.6,4.0,3.4,2.2,0.1,-0.1
Amir Johnson,88.8,5.6,4.5,4.0,3.0,2.7,0.5,0.2
Terrence Ross,87.4,4.3,4.2,3.6,3.5,2.4,0.9,0.3
Obi Toppin,87.1,4.8,4.3,3.9,2.1,1.5,,
Stephen Jackson,87.0,4.8,4.4,4.4,4.1,3.1,0.9,-0.1
Paul Griffin,85.8,4.9,4.4,4.1,2.9,1.6,1.4,0.4
Malik Rose,85.8,5.2,4.4,3.4,3.3,2.6,1.1,0.4
Julius Keye,85.6,5.3,4.3,3.6,3.6,1.2,-0.2,
Shandon Anderson,85.4,4.9,4.2,3.9,2.7,2.0,1.2,0.4
Brandon Bass,85.1,6.3,4.7,4.3,4.1,2.0,0.1,0.0
Luke Jackson,84.9,5.1,4.8,4.2,3.6,1.7,1.4,0.8
