"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')"
Saben Lee,,1.5,0.9,0.7,0.4,,,
Steve Alford,92.1,1.4,0.9,0.6,0.3,,,
MarShon Brooks,84.4,1.3,0.8,0.7,0.4,0.1,,
Damyean Dotson,84.3,1.5,0.9,0.6,0.0,0.0,,
John Warren,78.9,1.7,0.9,0.8,0.5,0.3,,
Nik Stauskas,77.3,1.4,1.1,0.5,0.5,0.3,0.1,
Shaquille Harrison,76.7,1.5,1.4,0.8,0.3,0.2,0.0,0.0
Isaiah Canaan,75.9,1.4,1.4,0.6,0.5,0.2,0.1,
Richie Frahm,75.7,1.5,1.0,0.5,-0.2,,,
JaKarr Sampson,74.7,1.2,0.8,0.6,0.5,0.3,0.1,
Jordan Hamilton,74.4,1.6,0.8,0.3,0.2,0.1,,
