"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')","('Win Shares (Best to Worst)', '8')","('Win Shares (Best to Worst)', '9')","('Win Shares (Best to Worst)', '10')","('Win Shares (Best to Worst)', '11')","('Win Shares (Best to Worst)', '12')","('Win Shares (Best to Worst)', '13')"
Jason Smith,,2.3,2.2,1.8,1.7,1.6,1.5,1.2,0.9,0.7,0.2,0.0,,
Tony Massenburg,86.5,2.8,2.2,1.8,1.7,1.5,1.3,1.1,1.0,0.9,0.7,0.4,0.2,-0.1
Jud Buechler,85.5,2.9,2.3,1.9,1.8,1.5,1.5,1.2,1.2,0.8,0.5,0.5,0.4,
Taurean Prince,83.6,3.5,2.2,2.0,1.9,1.5,1.3,1.1,1.0,0.6,,,,
Earl Cureton,83.5,2.7,2.6,2.1,2.0,1.5,1.2,1.0,0.8,0.7,0.0,0.0,-0.1,
Tom Hammonds,81.0,2.6,2.4,2.2,1.8,1.7,1.0,0.8,0.8,0.6,0.5,0.5,-0.1,
Damien Wilkins,78.6,2.8,1.9,1.9,1.7,1.5,1.0,1.0,0.4,0.0,-0.1,,,
Bill Willoughby,78.3,3.0,2.6,1.8,1.5,1.2,1.2,1.1,0.9,,,,,
Steve Kuberski,77.3,2.6,2.3,1.7,1.7,1.2,1.1,0.6,0.2,0.0,,,,
Ryan Bowen,77.2,3.1,2.1,1.7,1.5,1.4,1.1,0.8,0.6,0.2,0.1,,,
Robert Traylor,76.5,2.5,2.5,2.4,1.9,1.8,1.2,1.0,,,,,,
