Season,Age,Team,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards
2019-20,23,MEM,NBA,PF,58,4,1300,8.2,13.3,0.618,0.6,1.8,0.359,7.6,11.5,0.658,0.642,2.4,3.1,0.759,2.5,7.0,9.6,2.2,0.9,1.3,1.5,2.8,19.4,ROY-4
2020-21,24,MEM,NBA,PF,59,16,1415,6.5,12.6,0.517,0.5,2.0,0.26,6.0,10.6,0.565,0.537,2.0,2.9,0.69,2.5,5.9,8.3,2.4,1.5,1.3,0.8,2.1,15.5,
2021-22,25,MEM,NBA,PF,64,1,1246,8.3,12.9,0.644,0.1,0.6,0.227,8.2,12.3,0.666,0.65,2.5,3.8,0.654,3.9,6.0,9.9,2.5,1.1,2.0,1.0,3.5,19.2,6MOY-11
2022-23,26,MEM,NBA,PF,56,8,1090,7.6,11.5,0.656,0.0,0.2,0.167,7.5,11.3,0.665,0.658,3.3,4.5,0.723,3.0,7.2,10.2,2.4,1.1,1.2,1.8,4.3,18.4,
2023-24,27,MEM,NBA,PF,6,1,134,8.9,15.9,0.559,0.3,1.6,0.167,8.6,14.2,0.604,0.568,0.3,1.9,0.143,3.5,5.1,8.6,2.4,1.3,1.6,0.8,2.1,18.3,
2024-25,28,MEM,NBA,PF,64,18,1207,7.0,11.3,0.621,0.0,0.5,0.059,7.0,10.8,0.647,0.622,1.8,2.6,0.701,3.8,5.9,9.7,2.0,1.6,1.1,1.2,4.3,15.9,
6 Yrs,6 Yrs,6 Yrs,6 Yrs,,307,48,6392,7.5,12.4,0.606,0.3,1.1,0.266,7.2,11.4,0.638,0.617,2.3,3.3,0.698,3.1,6.3,9.5,2.3,1.3,1.4,1.2,3.3,17.7,
