Season,Age,Team,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards
2009-10,23,SAS,NBA,C,2.0,0.0,9.5,1.5,3.0,0.5,0.0,0.0,1.5,3.0,0.5,0.5,1.5,2.0,0.75,0.0,1.0,1.0,0.0,0.0,0.5,1.0,1.5,4.5,
2010-11,24,DAL,NBA,C,6.0,0.0,5.5,0.5,0.8,0.6,0.0,0.0,0.5,0.8,0.6,0.6,0.8,1.5,0.556,0.5,0.5,1.0,0.0,0.2,0.0,0.0,2.7,1.8,
2011-12,25,DAL,NBA,C,4.0,0.0,17.5,2.3,3.5,0.643,0.0,0.0,2.3,3.5,0.643,0.643,2.8,3.3,0.846,2.3,2.3,4.5,0.0,0.8,0.8,0.3,3.3,7.3,
2012-13,26,IND,NBA,C,18.0,0.0,8.3,0.7,1.6,0.448,0.0,0.0,0.7,1.6,0.448,0.448,0.2,0.6,0.3,1.1,1.2,2.3,0.1,0.0,0.7,0.7,1.6,1.6,
2013-14,27,IND,NBA,C,19.0,0.0,12.7,0.7,1.4,0.481,0.0,0.0,0.7,1.4,0.481,0.481,0.6,0.9,0.611,1.2,1.2,2.4,0.2,0.3,0.8,0.5,2.0,1.9,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-16,29,IND,NBA,C,7.0,7.0,24.6,3.0,6.0,0.5,0.0,0.0,3.0,6.0,0.5,0.5,2.1,3.6,0.6,1.7,3.4,5.1,1.1,0.7,0.9,2.0,3.6,8.1,
2016-17,30,WAS,NBA,C,5.0,0.0,12.6,1.0,1.8,0.556,0.0,0.0,1.0,1.8,0.556,0.556,0.8,2.2,0.364,0.6,1.6,2.2,1.2,0.2,1.2,0.6,3.4,2.8,
2017-18,31,WAS,NBA,C,6.0,0.0,8.7,1.7,2.3,0.714,0.0,0.0,1.7,2.3,0.714,0.714,1.7,1.8,0.909,0.7,1.2,1.8,0.2,0.7,0.8,0.2,1.7,5.0,
8 Yrs,8 Yrs,8 Yrs,8 Yrs,,67.0,7.0,11.9,1.1,2.2,0.527,0.0,0.0,1.1,2.2,0.527,0.527,0.9,1.5,0.614,1.1,1.5,2.6,0.3,0.3,0.7,0.6,2.2,3.2,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IND (3 Yrs),IND (3 Yrs),IND (3 Yrs),IND (3 Yrs),,44.0,7.0,12.8,1.1,2.2,0.48,0.0,0.0,1.1,2.2,0.48,0.48,0.7,1.2,0.547,1.2,1.6,2.8,0.3,0.2,0.8,0.8,2.1,2.8,
WAS (2 Yrs),WAS (2 Yrs),WAS (2 Yrs),WAS (2 Yrs),,11.0,0.0,10.5,1.4,2.1,0.652,0.0,0.0,1.4,2.1,0.652,0.652,1.3,2.0,0.636,0.6,1.4,2.0,0.6,0.5,1.0,0.4,2.5,4.0,
DAL (2 Yrs),DAL (2 Yrs),DAL (2 Yrs),DAL (2 Yrs),,10.0,0.0,10.3,1.2,1.9,0.632,0.0,0.0,1.2,1.9,0.632,0.632,1.6,2.2,0.727,1.2,1.2,2.4,0.0,0.4,0.3,0.1,2.9,4.0,
SAS (1 Yr),SAS (1 Yr),SAS (1 Yr),SAS (1 Yr),,2.0,0.0,9.5,1.5,3.0,0.5,0.0,0.0,1.5,3.0,0.5,0.5,1.5,2.0,0.75,0.0,1.0,1.0,0.0,0.0,0.5,1.0,1.5,4.5,
