"('Unnamed: 0_level_0', 'Season')","('Unnamed: 1_level_0', 'Age')","('Unnamed: 2_level_0', 'Team')","('Unnamed: 3_level_0', 'Lg')","('Unnamed: 4_level_0', 'Pos')","('Unnamed: 5_level_0', 'G')","('Unnamed: 6_level_0', 'GS')","('Unnamed: 7_level_0', 'MP')","('Shooting %', 'FG%')","('Shooting %', '2P%')","('Shooting %', 'eFG%')","('Shooting %', 'FT%')","('Shooting %', 'TS%')","('Shooting %', 'FTr')","('Shooting %', '3PAr')","('League-Adjusted', 'FG+')","('League-Adjusted', '2P+')","('League-Adjusted', 'eFG+')","('League-Adjusted', 'FT+')","('League-Adjusted', 'TS+')","('League-Adjusted', 'FTr+')","('League-Adjusted', '3PAr+')","('Added', 'FG Add')","('Added', 'TS Add')","('Unnamed: 24_level_0', 'Awards')"
2014-15,21,MEM,NBA,PF,19.0,2.0,126.0,0.568,0.568,0.568,0.536,0.578,0.757,0.0,126.0,117.0,114.0,71.0,108.0,277.0,0.0,5.3,4.3,
2015-16,22,2TM,NBA,C,7.0,0.0,18.0,0.6,0.6,0.6,0.5,0.595,0.4,0.0,133.0,122.0,119.0,66.0,110.0,145.0,0.0,1.0,0.6,
2015-16,22,MEM,NBA,C,2.0,0.0,4.0,,,,,,,,,,,,,,,0.0,0.0,
2015-16,22,MIA,NBA,C,5.0,0.0,14.0,0.6,0.6,0.6,0.5,0.595,0.4,0.0,133.0,122.0,119.0,66.0,110.0,145.0,0.0,1.0,0.6,
2016-17,23,DEN,NBA,C,2.0,0.0,7.0,1.0,1.0,1.0,0.5,0.798,2.0,0.0,219.0,199.0,195.0,65.0,144.0,739.0,0.0,1.0,0.9,
3 Yrs,3 Yrs,3 Yrs,3 Yrs,,28.0,2.0,151.0,0.581,0.581,0.581,0.531,0.587,0.744,0.0,128.0,119.0,117.0,71.0,110.0,272.0,0.0,7.3,5.8,
,,,,,,,,,,,,,,,,,,,,,,,,
MEM (2 Yrs),MEM (2 Yrs),MEM (2 Yrs),MEM (2 Yrs),,21.0,2.0,130.0,0.568,0.568,0.568,0.536,0.578,0.757,0.0,126.0,117.0,114.0,71.0,108.0,277.0,0.0,5.3,4.3,
MIA (1 Yr),MIA (1 Yr),MIA (1 Yr),MIA (1 Yr),,5.0,0.0,14.0,0.6,0.6,0.6,0.5,0.595,0.4,0.0,133.0,122.0,119.0,66.0,110.0,145.0,0.0,1.0,0.6,
DEN (1 Yr),DEN (1 Yr),DEN (1 Yr),DEN (1 Yr),,2.0,0.0,7.0,1.0,1.0,1.0,0.5,0.798,2.0,0.0,219.0,199.0,195.0,65.0,144.0,739.0,0.0,1.0,0.9,
