"('Thru 5 Years', 'Player')","('Thru 5 Years', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')"
Tyrese Haliburton,,10.4,9.0,7.6,7.0,3.5
Walter Davis,94.3,10.1,9.4,8.3,7.1,2.7
Luka DonÄiÄ,93.8,10.2,8.8,7.7,7.6,4.9
Allen Iverson,93.2,11.8,9.0,7.2,6.9,4.1
Hersey Hawkins,92.7,9.8,8.5,8.0,7.8,4.0
Tony Parker,92.7,9.6,8.1,7.7,7.5,3.8
Tim Hardaway,92.5,9.9,9.2,7.5,5.1,3.3
Billy Knight,92.5,10.7,8.3,7.1,6.0,3.7
Rajon Rondo,92.1,9.9,9.6,7.2,6.6,2.4
Earl Monroe,91.9,9.3,8.8,8.3,7.1,2.5
Isiah Thomas,91.5,11.2,9.1,8.8,7.4,2.3
