"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')","('Win Shares (Best to Worst)', '8')","('Win Shares (Best to Worst)', '9')","('Win Shares (Best to Worst)', '10')"
Tyrese Haliburton,,10.4,9.0,7.6,7.0,3.5,,,,,
Doug Collins,85.3,10.0,7.7,7.6,6.2,4.2,1.9,0.7,-0.3,,
Reggie Lewis,85.1,9.1,8.3,7.5,6.9,6.7,0.4,,,,
Jalen Brunson,81.9,11.2,8.7,8.3,7.5,5.1,2.6,2.1,,,
Brandon Roy,81.4,13.5,9.1,8.0,4.8,2.1,0.0,,,,
Ben Simmons,80.3,9.2,8.2,6.9,6.0,2.2,1.8,1.0,,,
Phil Chenier,79.6,8.8,8.8,7.4,5.8,5.5,1.8,1.4,0.0,0.0,-0.1
Ray Williams,78.6,8.2,7.9,7.2,6.2,3.9,1.0,1.0,0.9,0.4,0.4
Darel Carrier,78.3,8.7,8.0,7.8,4.9,0.9,0.2,,,,
Glen Combs,78.1,8.7,8.6,6.7,5.1,2.7,2.5,0.0,,,
Max Zaslofsky,77.8,10.2,9.6,9.4,8.4,3.7,2.7,1.7,1.7,0.6,0.3
