Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,PTS
2022-23,22.0,IND,NBA,PG,1,0,13:52,7,9,0.778,4,6,0.667,0,0,,0,1,3,0,0,0,0,18
2023-24,23.0,IND,NBA,PG,1,1,27:02,11,15,0.733,10,14,0.714,0,0,,2,7,6,0,0,3,0,32
Career,,,NBA,,2,1,41,18,24,0.75,14,20,0.7,0,0,,2,8,9,0,0,3,0,50
