"('Thru 7 Years', 'Player')","('Thru 7 Years', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')"
Alexis AjinÃ§a,,3.2,2.1,1.0,1.0,0.4,0.0,-0.1
Å½eljko RebraÄa,85.7,3.3,2.4,1.3,0.7,0.5,,
Stanley Roberts,84.3,3.2,2.1,1.8,0.7,0.5,-0.1,-0.1
Tarik Black,81.2,3.1,2.4,1.5,0.7,,,
Salah Mejri,80.4,3.0,2.7,1.3,1.1,,,
Cole Aldrich,79.1,3.5,2.2,1.3,1.2,0.6,0.6,0.2
Chris Dudley,78.3,3.4,2.2,2.2,1.0,0.2,0.1,0.0
Travis Knight,77.2,3.3,3.0,1.1,0.6,0.2,-0.1,-0.3
Calvin Booth,75.5,2.2,2.1,1.0,0.8,0.5,0.4,0.1
Bill Wennington,75.4,3.5,2.1,1.3,1.2,0.9,0.5,0.4
Day'Ron Sharpe,74.7,2.9,2.7,1.6,1.2,,,
