"('Unnamed: 0_level_0', 'Season')","('Unnamed: 1_level_0', 'Age')","('Unnamed: 2_level_0', 'College')","('Unnamed: 3_level_0', 'G')","('Unnamed: 4_level_0', 'MP')","('Totals', 'FG')","('Totals', 'FGA')","('Totals', '3P')","('Totals', '3PA')","('Totals', 'FT')","('Totals', 'FTA')","('Totals', 'ORB')","('Totals', 'TRB')","('Totals', 'AST')","('Totals', 'STL')","('Totals', 'BLK')","('Totals', 'TOV')","('Totals', 'PF')","('Totals', 'PTS')","('Shooting', 'FG%')","('Shooting', '3P%')","('Shooting', 'FT%')","('Per Game', 'MP')","('Per Game', 'PTS')","('Per Game', 'TRB')","('Per Game', 'AST')"
2006-07,19.0,DUKE,32,618,87,193,8,25,37,59,29,92,35,16,10,43,46,219,0.451,0.32,0.627,19.3,6.8,2.9,1.1
2007-08,20.0,DUKE,34,891,156,329,20,63,101,151,49,160,56,39,31,68,70,433,0.474,0.317,0.669,26.2,12.7,4.7,1.6
2008-09,21.0,DUKE,37,1098,213,473,41,122,143,188,46,183,91,46,28,80,63,610,0.45,0.336,0.761,29.7,16.5,4.9,2.5
Career,,,103,2607,456,995,69,210,281,398,124,435,182,101,69,191,179,1262,0.458,0.329,0.706,25.3,12.3,4.2,1.8
