Season,Team,Lg,Salary
2005-06,Boston Celtics,NBA,"$398,762"
2006-07,Indiana Pacers,NBA,"$664,209"
2010-11,New Jersey Nets,NBA,"$52,066"
Career,(may be incomplete),,"$1,115,037"
