Season,Age,Team,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,Awards
2005-06,23,BOS,NBA,PG,80,5,1235,4.2,10.7,.395,0.4,1.7,.225,3.8,9.0,.427,.413,1.9,2.9,.662,1.6,4.6,6.1,5.4,3.2,0.4,4.6,7.6,10.7,83,105,
2006-07,24,IND,NBA,SG,41,0,254,4.7,12.7,.371,0.4,2.2,.182,4.3,10.4,.412,.387,3.1,5.1,.600,2.5,6.5,9.0,4.5,3.5,0.8,5.7,7.8,12.9,78,102,
2007-08,25,SAC,NBA,SG,7,2,61,2.5,9.1,.273,0.0,0.8,.000,2.5,8.3,.300,.273,0.0,0.0,,0.0,5.0,5.0,2.5,2.5,0.8,5.8,7.5,5.0,42,109,
2008-09,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league
2009-10,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league
2010-11,28,NJN,NBA,SG,3,0,5,10.7,21.4,.500,0.0,0.0,,10.7,21.4,.500,.500,10.7,21.4,.500,0.0,0.0,0.0,10.7,10.7,0.0,0.0,0.0,32.0,121,95,
4 Yrs,4 Yrs,4 Yrs,4 Yrs,,131,7,1555,4.2,11.0,.387,0.4,1.7,.212,3.9,9.2,.420,.404,2.0,3.2,.642,1.6,4.9,6.5,5.2,3.3,0.5,4.8,7.6,10.9,80,105,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BOS (1 Yr),BOS (1 Yr),BOS (1 Yr),BOS (1 Yr),,80,5,1235,4.2,10.7,.395,0.4,1.7,.225,3.8,9.0,.427,.413,1.9,2.9,.662,1.6,4.6,6.1,5.4,3.2,0.4,4.6,7.6,10.7,83,105,
IND (1 Yr),IND (1 Yr),IND (1 Yr),IND (1 Yr),,41,0,254,4.7,12.7,.371,0.4,2.2,.182,4.3,10.4,.412,.387,3.1,5.1,.600,2.5,6.5,9.0,4.5,3.5,0.8,5.7,7.8,12.9,78,102,
SAC (1 Yr),SAC (1 Yr),SAC (1 Yr),SAC (1 Yr),,7,2,61,2.5,9.1,.273,0.0,0.8,.000,2.5,8.3,.300,.273,0.0,0.0,,0.0,5.0,5.0,2.5,2.5,0.8,5.8,7.5,5.0,42,109,
NJN (1 Yr),NJN (1 Yr),NJN (1 Yr),NJN (1 Yr),,3,0,5,10.7,21.4,.500,0.0,0.0,,10.7,21.4,.500,.500,10.7,21.4,.500,0.0,0.0,0.0,10.7,10.7,0.0,0.0,0.0,32.0,121,95,
