Highlight,Unnamed: 1,In Stathead
"Career high, Points",33.0,View full stats from top 20 games
"Career high, Rebounds",24.0,View full stats from top 20 games
"Career high, Assists",8.0,View full stats from top 20 games
"Career high, Steals",5.0,View full stats from top 20 games
"Career high, Blocks",6.0,View full stats from top 20 games
"Career high, Game Score",33.7,View full stats from top 20 games
