Season,Age,Team,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,Awards
2018-19,20,BRK,NBA,C,5.0,5.0,110.0,8.0,13.4,0.594,0.0,0.0,8.0,13.4,0.594,0.594,7.1,8.4,0.85,6.3,8.0,14.3,4.6,1.3,1.3,3.4,5.5,23.1,130.0,116.0,
2019-20,21,BRK,NBA,C,4.0,4.0,132.0,4.9,8.4,0.583,0.0,0.0,4.9,8.4,0.583,0.583,4.6,5.6,0.813,6.0,14.8,20.7,3.2,0.7,2.5,3.9,2.5,14.4,117.0,117.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-23,24,CLE,NBA,C,5.0,5.0,191.0,6.1,9.9,0.611,0.0,0.0,6.1,9.9,0.611,0.611,0.8,1.7,0.5,4.1,6.1,10.2,3.3,1.1,1.4,0.8,2.8,13.0,132.0,110.0,
2023-24,25,CLE,NBA,C,4.0,4.0,127.0,10.2,15.1,0.676,0.0,0.0,10.2,15.1,0.676,0.676,7.3,10.6,0.692,6.1,16.3,22.4,2.0,2.0,1.6,2.0,3.3,27.7,137.0,103.0,
2024-25,26,CLE,NBA,C,9.0,9.0,261.0,8.4,11.6,0.721,0.0,0.0,8.4,11.6,0.721,0.721,6.3,6.7,0.943,4.0,10.5,14.4,2.3,2.5,1.5,3.2,2.9,23.0,140.0,107.0,
5 Yrs,5 Yrs,5 Yrs,5 Yrs,,27.0,27.0,821.0,7.5,11.5,0.653,0.0,0.0,7.5,11.5,0.653,0.653,5.1,6.2,0.816,5.0,10.7,15.8,3.0,1.6,1.6,2.7,3.2,20.0,133.0,110.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CLE (3 Yrs),CLE (3 Yrs),CLE (3 Yrs),CLE (3 Yrs),,18.0,18.0,579.0,8.0,11.8,0.679,0.0,0.0,8.0,11.8,0.679,0.679,4.8,5.9,0.806,4.5,10.3,14.8,2.6,1.9,1.5,2.2,2.9,20.8,138.0,107.0,
BRK (2 Yrs),BRK (2 Yrs),BRK (2 Yrs),BRK (2 Yrs),,9.0,9.0,242.0,6.3,10.7,0.589,0.0,0.0,6.3,10.7,0.589,0.589,5.7,6.9,0.833,6.1,11.7,17.8,3.8,1.0,1.9,3.6,3.8,18.4,124.0,116.0,
