Season,Age,Team,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Trp-Dbl,Awards
2018-19,20,BRK,NBA,C,5.0,5.0,110.0,19.0,32.0,0.594,0.0,0.0,19.0,32.0,0.594,0.594,17.0,20.0,0.85,15.0,19.0,34.0,11.0,3.0,3.0,8.0,13.0,55.0,0.0,
2019-20,21,BRK,NBA,C,4.0,4.0,132.0,14.0,24.0,0.583,0.0,0.0,14.0,24.0,0.583,0.583,13.0,16.0,0.813,17.0,42.0,59.0,9.0,2.0,7.0,11.0,7.0,41.0,0.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-23,24,CLE,NBA,C,5.0,5.0,191.0,22.0,36.0,0.611,0.0,0.0,22.0,36.0,0.611,0.611,3.0,6.0,0.5,15.0,22.0,37.0,12.0,4.0,5.0,3.0,10.0,47.0,0.0,
2023-24,25,CLE,NBA,C,4.0,4.0,127.0,25.0,37.0,0.676,0.0,0.0,25.0,37.0,0.676,0.676,18.0,26.0,0.692,15.0,40.0,55.0,5.0,5.0,4.0,5.0,8.0,68.0,0.0,
2024-25,26,CLE,NBA,C,9.0,9.0,261.0,44.0,61.0,0.721,0.0,0.0,44.0,61.0,0.721,0.721,33.0,35.0,0.943,21.0,55.0,76.0,12.0,13.0,8.0,17.0,15.0,121.0,0.0,
5 Yrs,5 Yrs,5 Yrs,5 Yrs,,27.0,27.0,821.0,124.0,190.0,0.653,0.0,0.0,124.0,190.0,0.653,0.653,84.0,103.0,0.816,83.0,178.0,261.0,49.0,27.0,27.0,44.0,53.0,332.0,0.0,
82 Game Avg,82 Game Avg,82 Game Avg,82 Game Avg,,82.0,82.0,2493.0,377.0,577.0,0.653,0.0,0.0,377.0,577.0,0.653,0.653,255.0,313.0,0.816,252.0,541.0,793.0,149.0,82.0,82.0,134.0,161.0,1008.0,0.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CLE (3 Yrs),CLE (3 Yrs),CLE (3 Yrs),CLE (3 Yrs),,18.0,18.0,579.0,91.0,134.0,0.679,0.0,0.0,91.0,134.0,0.679,0.679,54.0,67.0,0.806,51.0,117.0,168.0,29.0,22.0,17.0,25.0,33.0,236.0,0.0,
BRK (2 Yrs),BRK (2 Yrs),BRK (2 Yrs),BRK (2 Yrs),,9.0,9.0,242.0,33.0,56.0,0.589,0.0,0.0,33.0,56.0,0.589,0.589,30.0,36.0,0.833,32.0,61.0,93.0,20.0,5.0,10.0,19.0,20.0,96.0,0.0,
