"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')"
Chris McCullough,,0.3,0.2,0.1,
Jordan Mickey,83.0,0.3,0.1,0.1,
Norvel Pelle,74.2,0.3,0.2,0.0,
David Vaughn,72.3,0.4,0.2,0.1,-0.1
Juwan Morgan,71.9,0.3,0.3,0.1,
Rayjon Tucker,71.2,0.4,0.2,0.2,
Malcolm Miller,71.1,0.3,0.2,0.2,
Mfiondu Kabengele,67.9,0.2,0.2,0.1,
Quincy Lewis,67.3,0.3,0.3,0.1,0.0
Pape Sow,62.1,0.6,0.2,0.1,
Scooter McCray,60.8,0.3,0.1,0.0,
