"('Thru 8 Years', 'Player')","('Thru 8 Years', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')","('Win Shares (Best to Worst)', '8')"
Derrick White,,8.5,8.5,7.4,5.1,4.2,3.6,1.9,0.5
Sam Cassell,92.9,9.2,8.5,8.3,4.7,3.9,3.9,2.2,0.8
Latrell Sprewell,92.1,8.1,8.0,6.6,5.5,4.0,3.0,2.0,0.4
Lucius Allen,92.0,8.2,7.6,7.6,4.9,3.9,3.6,2.2,1.9
Brian Taylor,90.2,8.3,7.9,5.6,5.3,4.8,3.6,1.8,0.1
John Wall,89.9,8.8,7.9,7.8,5.7,4.5,3.5,2.7,2.2
Bradley Beal,89.4,8.5,7.6,6.9,5.1,4.0,3.7,3.0,2.7
Otis Birdsong,88.8,8.8,8.6,8.2,5.2,4.5,4.2,4.2,1.6
Dick Snyder,88.5,10.0,8.0,6.2,6.0,4.1,3.7,1.8,0.6
B.J. Armstrong,88.3,8.1,7.5,7.5,7.0,4.6,4.1,1.7,1.3
Phil Chenier,87.6,8.8,8.8,7.4,5.8,5.5,1.8,1.4,-0.1
