"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')","('Win Shares (Best to Worst)', '8')","('Win Shares (Best to Worst)', '9')","('Win Shares (Best to Worst)', '10')","('Win Shares (Best to Worst)', '11')","('Win Shares (Best to Worst)', '12')","('Win Shares (Best to Worst)', '13')","('Win Shares (Best to Worst)', '14')","('Win Shares (Best to Worst)', '15')","('Win Shares (Best to Worst)', '16')"
Arron Afflalo,,6.2,5.3,5.3,4.3,2.7,2.6,2.0,1.9,1.8,1.4,0.1,,,,,
Adrian Smith,93.4,6.1,5.2,5.1,4.4,3.4,2.6,1.9,1.8,1.5,0.8,0.5,,,,,
Guy Rodgers,90.0,6.2,4.8,4.3,4.0,2.8,2.5,2.4,2.3,2.1,1.3,0.6,-0.2,,,,
Reggie Jackson,87.8,6.9,5.0,4.9,4.9,3.7,2.5,2.1,2.0,1.9,1.1,0.6,0.4,0.1,0.1,,
Quentin Richardson,87.1,5.8,5.8,5.6,3.5,3.0,2.4,2.1,1.3,1.3,1.0,0.7,0.3,-0.1,,,
Terry Rozier,86.7,5.9,5.6,5.2,3.9,3.2,3.0,1.7,1.4,1.0,-0.3,,,,,,
Gerald Henderson,86.3,6.2,5.3,3.7,3.6,2.9,2.3,2.2,1.7,1.3,1.2,1.1,0.5,0.0,,,
Austin Carr,86.2,5.9,5.4,5.3,5.0,3.4,2.9,2.6,2.0,1.0,-0.4,,,,,,
Bob Weiss,86.2,5.6,4.7,4.4,4.3,3.6,2.9,1.7,1.4,1.4,1.1,0.1,0.0,,,,
Patty Mills,85.9,5.6,5.1,4.8,4.1,3.5,2.8,2.8,2.2,1.5,1.4,0.9,0.7,0.4,0.1,0.1,0.0
Walt Hazzard,85.7,5.4,5.3,5.0,4.5,3.3,2.5,2.2,1.1,0.6,0.2,,,,,,
