"('Unnamed: 0_level_0', 'Season')","('Unnamed: 1_level_0', 'Age')","('Unnamed: 2_level_0', 'Team')","('Unnamed: 3_level_0', 'Lg')","('Unnamed: 4_level_0', 'Pos')","('Unnamed: 5_level_0', 'G')","('Unnamed: 6_level_0', 'GS')","('Unnamed: 7_level_0', 'MP')","('Shooting %', 'FG%')","('Shooting %', '2P%')","('Shooting %', '3P%')","('Shooting %', 'eFG%')","('Shooting %', 'FT%')","('Shooting %', 'TS%')","('Shooting %', 'FTr')","('Shooting %', '3PAr')","('League-Adjusted', 'FG+')","('League-Adjusted', '2P+')","('League-Adjusted', '3P+')","('League-Adjusted', 'eFG+')","('League-Adjusted', 'FT+')","('League-Adjusted', 'TS+')","('League-Adjusted', 'FTr+')","('League-Adjusted', '3PAr+')","('Added', 'FG Add')","('Added', 'TS Add')","('Unnamed: 26_level_0', 'Awards')"
2017-18,20,PHO,NBA,SF,77.0,35.0,1959.0,0.417,0.464,0.263,0.448,0.634,0.48,0.299,0.233,91.0,91.0,73.0,86.0,83.0,86.0,119.0,69.0,-136.5,-161.2,
2018-19,21,PHO,NBA,SG,79.0,29.0,1988.0,0.413,0.445,0.324,0.456,0.671,0.487,0.253,0.268,90.0,86.0,91.0,87.0,88.0,87.0,98.0,75.0,-114.7,-136.2,
2019-20,22,MEM,NBA,SF,22.0,0.0,381.0,0.44,0.54,0.319,0.513,0.7,0.547,0.314,0.453,96.0,103.0,89.0,97.0,91.0,97.0,121.0,118.0,-5.2,-6.4,
2020-21,23,DET,NBA,SG,62.0,25.0,1560.0,0.419,0.487,0.3,0.473,0.729,0.516,0.308,0.364,90.0,92.0,82.0,88.0,94.0,90.0,125.0,93.0,-91.6,-90.2,
2021-22,24,2TM,NBA,SF,51.0,3.0,830.0,0.4,0.512,0.254,0.455,0.714,0.491,0.257,0.433,87.0,96.0,72.0,86.0,92.0,87.0,103.0,109.0,-46.0,-49.9,
2021-22,24,DET,NBA,SF,39.0,3.0,707.0,0.41,0.529,0.265,0.47,0.714,0.501,0.223,0.45,89.0,99.0,75.0,88.0,92.0,88.0,90.0,113.0,-30.9,-36.0,
2021-22,24,SAC,NBA,SF,12.0,0.0,123.0,0.347,0.438,0.176,0.378,0.714,0.446,0.429,0.347,75.0,82.0,50.0,71.0,92.0,79.0,173.0,87.0,-15.1,-13.9,
5 Yrs,5 Yrs,5 Yrs,5 Yrs,,291.0,92.0,6718.0,0.416,0.471,0.292,0.461,0.68,0.495,0.285,0.307,90.0,90.0,81.0,87.0,88.0,88.0,113.0,83.0,-394.0,-443.9,
,,,,,,,,,,,,,,,,,,,,,,,,,,
PHO (2 Yrs),PHO (2 Yrs),PHO (2 Yrs),PHO (2 Yrs),,156.0,64.0,3947.0,0.415,0.455,0.294,0.452,0.65,0.483,0.277,0.249,90.0,89.0,82.0,86.0,85.0,87.0,109.0,72.0,-251.2,-297.4,
DET (2 Yrs),DET (2 Yrs),DET (2 Yrs),DET (2 Yrs),,101.0,28.0,2267.0,0.416,0.497,0.289,0.472,0.726,0.512,0.286,0.386,90.0,94.0,80.0,88.0,93.0,90.0,116.0,98.0,-122.5,-126.2,
MEM (1 Yr),MEM (1 Yr),MEM (1 Yr),MEM (1 Yr),,22.0,0.0,381.0,0.44,0.54,0.319,0.513,0.7,0.547,0.314,0.453,96.0,103.0,89.0,97.0,91.0,97.0,121.0,118.0,-5.2,-6.4,
SAC (1 Yr),SAC (1 Yr),SAC (1 Yr),SAC (1 Yr),,12.0,0.0,123.0,0.347,0.438,0.176,0.378,0.714,0.446,0.429,0.347,75.0,82.0,50.0,71.0,92.0,79.0,173.0,87.0,-15.1,-13.9,
