"('Thru 6 Years', 'Player')","('Thru 6 Years', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')"
Matisse Thybulle,,3.7,2.8,2.3,2.2,2.1,0.9
Torrey Craig,95.1,4.0,3.0,2.3,2.2,2.0,0.9
Charlie Criss,92.8,3.7,2.8,2.5,2.2,2.1,0.1
Evan Turner,92.7,4.0,2.5,2.4,2.3,2.1,1.4
Eric Piatkowski,92.6,3.9,2.3,2.3,2.3,2.0,1.2
Jordan Clarkson,90.4,3.4,3.0,2.4,2.1,1.8,1.2
Randy Foye,89.1,3.2,3.1,2.3,2.2,1.7,1.1
Darrell Walker,88.2,3.8,3.7,2.8,2.3,2.1,0.8
Jerryd Bayless,88.1,4.0,2.7,2.4,2.0,1.6,0.3
Elfrid Payton,88.1,4.4,2.8,2.3,2.2,1.7,1.5
John Battle,87.4,4.0,3.2,2.3,1.7,1.5,1.0
