"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')","('Win Shares (Best to Worst)', '8')"
Speedy Claxton,,4.2,3.7,3.0,2.8,1.2,0.0,-0.7,
Eric Money,87.3,4.2,3.6,3.3,2.7,0.6,0.3,,
Jim McElroy,85.4,4.9,3.5,2.9,2.6,0.8,0.3,-0.9,
Max Strus,84.6,3.9,3.6,3.4,3.4,0.9,0.0,,
Greivis VÃ¡squez,83.1,3.8,3.6,2.8,2.3,0.5,0.0,-0.3,
Isaac Okoro,82.4,4.2,4.2,4.2,2.5,0.9,,,
T.J. Ford,82.3,4.3,4.3,3.3,2.5,1.4,0.7,0.2,0.2
Whitey Skoog,82.3,4.1,3.6,2.9,1.9,1.0,0.7,,
Tre Jones,81.6,4.9,3.4,2.9,2.9,0.4,,,
Malik Monk,81.6,3.6,3.5,3.2,2.8,1.0,0.7,0.3,0.0
De'Anthony Melton,81.5,4.2,3.7,2.2,2.1,1.7,0.2,0.0,
