"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')"
Joel Freeland,,1.6,1.4,0.2,,
MickaÃ«l Gelabale,94.9,1.5,1.3,0.2,,
Rudy Macklin,88.4,1.8,1.4,0.1,,
Tom Workman,84.5,1.4,1.3,0.4,0.1,
Kenny Battle,83.2,1.9,1.3,0.3,0.1,
Derrick Chievous,81.2,1.6,1.2,-0.1,,
Jon Brockman,80.0,1.9,1.7,0.1,,
Jan VeselÃ½,78.1,1.7,1.6,0.7,,
Chris McNealy,76.6,1.6,0.8,0.2,,
Hank Whitney,76.3,1.8,1.1,0.5,,
Andrew Nicholson,75.9,1.7,1.6,0.6,0.1,-0.1
