"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')"
D.J. Wilson,,1.7,0.4,0.3,0.3,0.1,0.1,
KornÃ©l DÃ¡vid,80.4,1.7,0.4,0.3,,,,
Henry James,80.2,2.0,0.6,0.3,0.3,0.2,0.1,0.1
Vlatko ÄanÄar,80.0,1.7,0.4,0.3,0.1,-0.1,,
Linton Johnson,77.8,1.9,0.4,0.4,0.0,0.0,0.0,
Jordan Nwora,70.6,1.5,0.6,0.5,0.4,,,
D.J. White,70.1,1.8,0.8,0.6,0.4,0.2,0.0,
Joe Roberts,69.2,1.9,0.2,0.2,0.0,,,
Red Morrison,66.8,1.7,0.5,0.0,,,,
John Thomas,66.7,1.5,0.9,0.4,0.4,0.0,,
Ron Bonham,65.8,1.8,0.7,0.2,,,,
