"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')","('Win Shares (Best to Worst)', '8')","('Win Shares (Best to Worst)', '9')"
Dan Dickau,,3.5,1.5,0.4,0.4,0.0,0.0,,,
Tyus Edney,81.2,3.3,1.5,1.5,0.5,,,,,
Al McGuire,80.5,3.4,1.9,0.1,,,,,,
Ryan Arcidiacono,80.3,3.7,1.4,0.9,0.3,0.1,-0.1,-0.2,,
Jim Thomas,80.2,3.5,1.6,0.0,-0.1,,,,,
Ronnie Lester,79.6,3.9,1.7,0.7,0.2,0.0,-0.2,,,
Jeff Judkins,78.6,3.0,1.8,0.7,0.6,0.2,,,,
Pete Myers,78.6,3.0,1.3,0.6,0.5,0.3,0.1,0.0,0.0,-0.1
Robert Smith,78.4,2.9,1.4,0.8,0.6,0.0,0.0,0.0,,
Angelo Musi,77.0,3.5,1.3,1.1,,,,,,
Ralph Johnson,76.5,2.9,1.6,0.8,0.0,,,,,
