Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,PTS
2005-06,21.0,TOR,NBA,C,1.0,0.0,16:35,3.0,7.0,0.429,0.0,0.0,,2.0,3.0,0.667,2.0,8.0,2.0,0.0,0.0,1.0,1.0,8.0
2006-07,22.0,TOR,NBA,C,1.0,1.0,22:29,5.0,7.0,0.714,0.0,0.0,,1.0,2.0,0.5,3.0,7.0,1.0,0.0,0.0,0.0,0.0,11.0
2007-08,23.0,TOR,NBA,C,1.0,1.0,21:32,7.0,15.0,0.467,0.0,0.0,,0.0,2.0,0.0,2.0,7.0,1.0,0.0,0.0,1.0,1.0,14.0
2008-09,24.0,TOR,NBA,C,,,,,,,,,,,,,,,,,,,,
2009-10,25.0,TOR,NBA,C,1.0,0.0,29:08,9.0,16.0,0.563,0.0,0.0,,5.0,7.0,0.714,2.0,10.0,1.0,2.0,0.0,3.0,0.0,23.0
2010-11,26.0,MIA,NBA,PF,1.0,0.0,20:56,7.0,10.0,0.7,0.0,1.0,0.0,0.0,1.0,0.0,2.0,5.0,2.0,0.0,1.0,3.0,0.0,14.0
2011-12,27.0,MIA,NBA,PF,1.0,0.0,20:08,3.0,9.0,0.333,1.0,2.0,0.5,0.0,0.0,,1.0,2.0,1.0,2.0,1.0,1.0,2.0,7.0
2012-13,28.0,MIA,NBA,C,1.0,1.0,23:22,3.0,9.0,0.333,0.0,3.0,0.0,0.0,0.0,,0.0,2.0,1.0,1.0,0.0,3.0,3.0,6.0
2013-14,29.0,MIA,NBA,C,1.0,0.0,10:07,2.0,3.0,0.667,1.0,2.0,0.5,0.0,0.0,,0.0,2.0,0.0,2.0,0.0,1.0,1.0,5.0
2014-15,30.0,MIA,NBA,C,1.0,0.0,10:55,4.0,6.0,0.667,2.0,4.0,0.5,0.0,0.0,,1.0,3.0,1.0,2.0,0.0,1.0,0.0,10.0
2015-16,31.0,MIA,NBA,PF,,0.0,0:00,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Career,,,NBA,,9.0,3.0,175,43.0,82.0,,4.0,12.0,,8.0,15.0,,13.0,46.0,10.0,9.0,2.0,14.0,8.0,98.0
