"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')"
Justin Reed,,0.4,0.3,-0.2,
Riney Lochmann,83.3,0.4,0.3,-0.2,
Devin Ebanks,54.0,0.4,0.3,-0.1,
Gene James,50.8,0.5,0.3,0.1,
Devontae Cacok,45.5,0.5,0.3,0.0,
Kelan Martin,43.5,0.4,0.2,0.0,
Josh Davis,40.6,0.5,0.3,0.0,0.0
Eddie Mast,38.7,0.4,0.1,-0.2,
Matt Ryan,35.6,0.5,0.3,0.0,-0.1
Alex Poythress,34.8,0.5,0.3,0.1,
KZ Okpala,34.2,0.5,0.3,0.1,0.1
