"('Thru 9 Years', 'Player')","('Thru 9 Years', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')","('Win Shares (Best to Worst)', '8')","('Win Shares (Best to Worst)', '9')"
Brandon Jennings,,5.8,5.5,4.2,3.9,3.9,3.3,1.7,1.5,0.1
Terry Rozier,91.7,5.9,5.6,5.2,3.9,3.2,3.0,1.7,1.4,-0.3
Luke Ridnour,91.3,6.2,5.4,4.4,4.0,3.4,3.3,2.3,1.2,0.9
Aaron McKie,90.1,5.9,5.3,5.1,4.3,3.9,3.5,2.0,1.6,1.4
Charlie Ward,89.5,7.1,5.5,3.9,3.7,3.6,3.1,1.9,1.0,-0.2
Bill Keller,89.4,6.1,5.4,4.4,4.1,4.0,3.6,2.7,,
Foots Walker,89.1,6.1,5.2,4.2,3.4,3.4,3.0,2.3,1.5,1.5
John Paxson,88.9,6.0,5.7,4.8,4.7,4.2,3.3,2.3,2.2,0.6
Spud Webb,88.8,5.4,5.1,4.5,4.1,3.9,3.5,2.3,2.2,1.2
Patrick Beverley,88.7,5.3,4.8,4.4,4.2,3.6,3.5,2.2,2.1,0.4
Pooh Richardson,88.7,5.9,4.4,4.1,4.0,3.8,2.1,1.4,1.0,0.2
