season,overall_pick,pred_score,pred_rank
2016,8,0.8756450927942949,1
2016,9,0.8669839077057256,2
2016,25,0.8139137958148268,3
2016,18,0.7382753940683153,4
2016,54,0.7366478531914747,5
2016,1,0.7008303628461212,6
2016,2,0.6941859194593891,7
2016,30,0.6920805397992862,8
2016,40,0.6880926201317458,9
2016,27,0.6787183405689474,10
2016,31,0.6678186053382869,11
2016,7,0.6676897944643233,12
2016,51,0.6644360069072646,13
2016,11,0.6607721866793731,14
2016,37,0.630252890261297,15
2016,38,0.625666437291551,16
2016,21,0.578217270155832,17
2016,42,0.5739588936664674,18
2016,3,0.5329241357889803,19
2016,52,0.5161222496199904,20
2016,5,0.49332007995775434,21
2016,19,0.4758971885003518,22
2016,49,0.4492472272503298,23
2016,6,0.4413390398758188,24
2016,34,0.43833947789894173,25
2016,41,0.4354404825564265,26
2016,29,0.41808164246565677,27
2016,12,0.41013804518604957,28
2016,33,0.4058760258726184,29
2016,47,0.39471200330250805,30
2016,14,0.3912540401880011,31
2016,49,0.3620059377258969,32
2016,20,0.35811524558356694,33
2016,50,0.34923731021786375,34
2016,56,0.347335699825113,35
2016,22,0.3284157386489336,36
2016,59,0.2876886081899005,37
2016,45,0.2773337117933723,38
2016,36,0.227583382967559,39
2016,58,0.21211261882769292,40
2016,60,0.14704337120033392,41
2016,55,0.14623876040615058,42
2016,58,0.10001206500566727,43
2017,1,0.8668105534368301,1
2017,18,0.8613272352925502,2
2017,19,0.8475792370879177,3
2017,26,0.833913151826606,4
2017,10,0.8247260517244662,5
2017,14,0.819833623052678,6
2017,22,0.7847891212572758,7
2017,16,0.7652100788207102,8
2017,42,0.7574386978072185,9
2017,11,0.7151510279719799,10
2017,2,0.6970870445464842,11
2017,5,0.6294322731906528,12
2017,17,0.6235988504652704,13
2017,4,0.612453567519503,14
2017,31,0.6097229922619029,15
2017,30,0.5988262630784752,16
2017,12,0.590890269886577,17
2017,38,0.5821541799798157,18
2017,13,0.5794478458182023,19
2017,29,0.5637530957401641,20
2017,9,0.5629387279111981,21
2017,39,0.5585161171137735,22
2017,23,0.554146019520848,23
2017,3,0.5522217610333687,24
2017,35,0.5452780889824398,25
2017,45,0.5027593081920564,26
2017,24,0.4871953840655421,27
2017,15,0.47220454853196525,28
2017,7,0.46875417277667114,29
2017,54,0.46365509047770515,30
2017,6,0.4600654909622863,31
2017,47,0.449165427528158,32
2017,41,0.4484950937573237,33
2017,27,0.4091943010751298,34
2017,55,0.4027553184244182,35
2017,28,0.398535531310644,36
2017,37,0.3877027831429059,37
2017,34,0.38244469621699495,38
2017,44,0.37573307176699366,39
2017,40,0.3474228270554064,40
2017,48,0.34616829536150895,41
2017,55,0.3309354986292363,42
2017,32,0.26850471794354897,43
2017,33,0.26501600580448154,44
2017,44,0.2641396913953072,45
2017,37,0.24813711338642458,46
2017,52,0.23809770796132843,47
2017,46,0.23058264093079428,48
2017,59,0.19436066544074967,49
2017,53,0.09561148575867974,50
2017,56,0.07012968203541729,51
2017,36,0.054987574741413796,52
2018,7,0.8997670791951368,1
2018,4,0.8681168374298247,2
2018,16,0.8164832225822034,3
2018,5,0.8133793825329988,4
2018,6,0.787725164921863,5
2018,2,0.7036621724605049,6
2018,25,0.692990040039411,7
2018,11,0.6819242874258485,8
2018,1,0.6804627634729459,9
2018,19,0.6563557016898148,10
2018,20,0.6146364537448578,11
2018,46,0.609630024021598,12
2018,47,0.5630705917425425,13
2018,49,0.5585657126128735,14
2018,26,0.5579155996568321,15
2018,51,0.5488789572894465,16
2018,12,0.538376775521111,17
2018,33,0.5055327768463304,18
2018,15,0.504173143146898,19
2018,48,0.49713446575977016,20
2018,45,0.47528570054487446,21
2018,37,0.47489533340942286,22
2018,10,0.4672589754077174,23
2018,13,0.45616145676030356,24
2018,28,0.4415108415495605,25
2018,30,0.4317070571657396,26
2018,18,0.42289431353585005,27
2018,8,0.4202557966462693,28
2018,17,0.410174413334664,29
2018,32,0.3864571596017076,30
2018,14,0.310869887068248,31
2018,38,0.2994185951351253,32
2018,60,0.2931429409714725,33
2018,21,0.2890915209662434,34
2018,23,0.28630071824680353,35
2018,41,0.2856045826889404,36
2018,34,0.28265259497100825,37
2018,22,0.2052896278659351,38
2018,43,0.13768659872805497,39
2018,42,0.12456073330924809,40
2019,1,0.9247125597445466,1
2019,2,0.9109860884766422,2
2019,8,0.8412607768242225,3
2019,3,0.8393747618313974,4
2019,21,0.7954663733441123,5
2019,44,0.7887644605108999,6
2019,38,0.7866844531728787,7
2019,21,0.7821257642262128,8
2019,6,0.7441403875959838,9
2019,22,0.7347855207506481,10
2019,34,0.712968855115543,11
2019,31,0.7129036796486646,12
2019,43,0.6932352028140389,13
2019,7,0.6863002433068929,14
2019,12,0.6099761577118521,15
2019,56,0.6061028749736836,16
2019,5,0.5918621029190149,17
2019,45,0.581780544182295,18
2019,26,0.5737544255108845,19
2019,27,0.5675867369110658,20
2019,30,0.565454570654832,21
2019,25,0.5626047921326253,22
