season,overall_pick,pred_score,pred_rank
2019,9,0.5619869059830382,23
2019,32,0.5489507078735401,24
2019,17,0.5431220722862664,25
2019,53,0.5415346734564471,26
2019,46,0.5355841456078325,27
2019,33,0.5349142230821528,28
2019,10,0.512055759386045,29
2019,41,0.4955147030349861,30
2019,11,0.4815044666101252,31
2019,29,0.47439931468217,32
2019,14,0.46769833943435785,33
2019,11,0.45872391181265637,34
2019,13,0.45718508420278636,35
2019,28,0.43176111279860235,36
2019,58,0.4315307480162075,37
2019,16,0.41817672499209485,38
2019,47,0.3964444617593403,39
2019,52,0.3892853584203932,40
2019,57,0.376125038135299,41
2019,49,0.3463383818146561,42
2019,51,0.3374521748874924,43
2019,24,0.307141057230799,44
2019,59,0.2926624855011753,45
2019,42,0.2699417249651755,46
2019,36,0.2662872285845234,47
2019,4,0.26503272660871696,48
2019,20,0.2603802898312216,49
2019,50,0.21859549417208748,50
2019,36,0.2095319804531994,51
2019,41,0.20645881293105559,52
2019,48,0.20256738637027188,53
2019,55,0.1900464434011417,54
2019,40,0.172234318843234,55
2019,54,0.1575397604719698,56
2019,54,0.12846065000000217,57
