player_name,OVERALL_PICK,Totals_FG,Totals_FT,Totals_TRB,Totals_BLK,Totals_STL,Totals_TOV,Totals_PF,Shooting_FG%,MP,Age
Jamison Brewer,40,97,64,230,2.0,48.0,92.0,49.0,0.469,1035.0,20.0
Bobby Simmons,41,149,124,248,4.0,23.0,60.0,97.0,0.447,981.0,20.0
Eric Chenowith,42,111,93,250,49.0,11.0,70.0,99.0,0.457,746.0,21.0
Kyle Hill,43,250,151,151,23.0,46.0,89.0,57.0,0.473,1042.0,21.0
Sean Lampley,44,209,180,224,14.0,29.0,112.0,79.0,0.502,1073.0,21.0
Loren Woods,45,63,67,157,50.0,8.0,37.0,50.0,0.401,554.0,19.0
Loren Woods,45,133,117,189,84.0,19.0,59.0,64.0,0.504,879.0,22.0
Ken Johnson,48,145,96,226,125.0,12.0,73.0,81.0,0.578,916.0,22.0
Ruben Boumtje-Boumtje,49,105,89,225,78.0,22.0,73.0,84.0,0.517,713.0,22.0
Alton Ford,50,95,81,154,19.0,5.0,66.0,97.0,0.432,663.0,19.0
Andre Hutson,51,173,95,244,17.0,27.0,52.0,79.0,0.622,956.0,22.0
Jarron Collins,52,154,125,229,19.0,21.0,50.0,86.0,0.558,963.0,22.0
Kenny Satterfield,53,163,130,165,6.0,60.0,111.0,89.0,0.387,1203.0,19.0
Maurice Jeffers,54,158,160,190,16.0,27.0,69.0,87.0,0.449,1011.0,21.0
Robertas Javtokas,55,3,0,10,4.0,1.0,1.0,9.0,0.375,55.0,19.0
Alvin Jones,56,134,133,312,101.0,28.0,90.0,96.0,0.482,875.0,22.0
Bryan Bracey,57,177,130,200,9.0,27.0,74.0,68.0,0.493,858.0,22.0
Jay Williams,2,249,140,124,3.0,76.0,131.0,80.0,0.457,1175.0,20.0
Mike Dunleavy,3,218,81,251,26.0,80.0,61.0,79.0,0.483,1133.0,21.0
Drew Gooden,4,285,154,423,53.0,65.0,108.0,91.0,0.504,1119.0,20.0
Dajuan Wagner,6,265,166,89,20.0,43.0,105.0,101.0,0.41,1146.0,18.0
Chris Wilcox,8,173,86,257,53.0,28.0,53.0,97.0,0.504,866.0,19.0
Caron Butler,10,253,155,256,13.0,71.0,98.0,75.0,0.486,1223.0,21.0
Jared Jeffries,11,189,134,273,46.0,54.0,102.0,88.0,0.457,1175.0,20.0
Melvin Ely,12,246,161,254,88.0,19.0,73.0,67.0,0.563,999.0,23.0
Marcus Haislip,13,161,80,167,44.0,11.0,51.0,86.0,0.518,839.0,21.0
Fred Jones,14,215,169,189,18.0,63.0,82.0,94.0,0.521,1103.0,22.0
Juan Dixon,17,251,141,166,7.0,92.0,89.0,72.0,0.469,1209.0,23.0
Curtis Borchardt,18,171,138,332,83.0,17.0,57.0,82.0,0.576,896.0,21.0
Ryan Humphrey,19,140,63,232,61.0,24.0,61.0,112.0,0.502,831.0,19.0
Ryan Humphrey,19,231,122,337,87.0,33.0,77.0,83.0,0.489,1103.0,22.0
Kareem Rush,20,249,103,188,22.0,39.0,103.0,76.0,0.426,1149.0,21.0
Qyntel Woods,21,239,230,229,,,,,0.483,722.0,20.0
Casey Jacobsen,22,205,184,135,3.0,18.0,73.0,55.0,0.441,1058.0,20.0
Tayshaun Prince,23,206,83,202,43.0,34.0,64.0,51.0,0.467,1067.0,21.0
Frank Williams,25,174,164,163,10.0,71.0,96.0,73.0,0.393,1135.0,21.0
John Salmons,26,137,123,191,20.0,57.0,119.0,75.0,0.461,1077.0,22.0
