player_name,OVERALL_PICK,Totals_FG,Totals_FT,Totals_TRB,Totals_BLK,Totals_STL,Totals_TOV,Totals_PF,Shooting_FG%,MP,Age
Aaron Gray,49,204,91,341,62.0,15.0,55.0,91.0,0.565,1016.0,22.0
JamesOn Curry,51,202,115,111,11.0,41.0,109.0,74.0,0.452,1295.0,21.0
Taurean Green,52,154,141,96,1.0,42.0,107.0,60.0,0.444,1328.0,20.0
Demetris Nichols,53,225,113,190,37.0,49.0,77.0,73.0,0.447,1217.0,22.0
Herbert Hill,55,240,80,274,91.0,30.0,89.0,90.0,0.64,990.0,22.0
Ramon Sessions,56,140,118,161,7.0,29.0,85.0,41.0,0.452,1028.0,20.0
Sammy Mejia,57,188,62,202,4.0,35.0,65.0,72.0,0.481,1140.0,23.0
Derrick Rose,1,208,146,181,15.0,48.0,107.0,68.0,0.477,1168.0,19.0
Michael Beasley,2,307,216,408,54.0,42.0,95.0,85.0,0.532,1041.0,19.0
O.J. Mayo,3,237,122,150,13.0,51.0,117.0,80.0,0.442,1216.0,20.0
Russell Westbrook,4,182,107,153,7.0,63.0,96.0,93.0,0.465,1318.0,19.0
Kevin Love,5,227,198,415,56.0,27.0,78.0,73.0,0.559,1156.0,19.0
Eric Gordon,7,184,231,104,20.0,42.0,115.0,69.0,0.433,1110.0,19.0
Joe Alexander,8,219,158,231,54.0,26.0,80.0,103.0,0.462,1137.0,21.0
D.J. Augustin,9,242,173,112,0.0,47.0,105.0,61.0,0.439,1417.0,20.0
Brook Lopez,10,184,153,221,56.0,16.0,58.0,66.0,0.468,831.0,19.0
Jerryd Bayless,11,173,187,82,3.0,29.0,89.0,66.0,0.458,1072.0,19.0
Jason Thompson,12,275,133,412,91.0,36.0,99.0,100.0,0.56,1177.0,21.0
Brandon Rush,13,180,67,195,32.0,32.0,69.0,60.0,0.435,1127.0,22.0
Anthony Randolph,14,183,115,263,70.0,35.0,92.0,85.0,0.464,1016.0,18.0
Robin Lopez,15,140,86,204,83.0,18.0,63.0,94.0,0.534,883.0,19.0
Marreese Speights,16,216,90,290,49.0,15.0,62.0,82.0,0.624,874.0,20.0
Roy Hibbert,17,179,93,216,75.0,18.0,57.0,92.0,0.609,894.0,21.0
JaVale McGee,18,189,74,242,92.0,26.0,80.0,82.0,0.529,902.0,20.0
Ryan Anderson,21,230,173,328,18.0,12.0,74.0,71.0,0.49,1082.0,19.0
Courtney Lee,22,259,148,175,28.0,65.0,84.0,87.0,0.477,1079.0,22.0
Kosta Koufos,23,222,68,247,67.0,16.0,55.0,81.0,0.508,1003.0,18.0
George Hill,26,220,199,216,13.0,57.0,94.0,89.0,0.545,1179.0,21.0
Darrell Arthur,27,214,80,250,53.0,20.0,75.0,118.0,0.543,989.0,19.0
J.R. Giddens,30,111,17,114,22.0,25.0,48.0,54.0,0.404,831.0,19.0
J.R. Giddens,30,210,92,290,39.0,47.0,73.0,64.0,0.516,1063.0,22.0
Walter Sharpe,32,20,16,30,5.0,3.0,13.0,13.0,0.541,118.0,19.0
Walter Sharpe,32,68,34,82,22.0,14.0,34.0,36.0,0.523,299.0,21.0
Joey Dorsey,33,108,45,362,74.0,41.0,41.0,107.0,0.647,958.0,24.0
Mario Chalmers,34,164,97,120,23.0,97.0,75.0,99.0,0.516,1170.0,21.0
DeAndre Jordan,35,113,52,210,44.0,7.0,57.0,67.0,0.617,703.0,19.0
Luc Mbah a Moute,37,117,51,198,15.0,34.0,62.0,55.0,0.478,958.0,21.0
Kyle Weaver,38,138,126,184,25.0,60.0,97.0,66.0,0.463,1159.0,21.0
Sonny Weems,39,197,61,152,8.0,45.0,96.0,74.0,0.464,1067.0,21.0
Chris Douglas-Roberts,40,259,161,165,18.0,49.0,83.0,68.0,0.541,1147.0,21.0
Nathan Jawai,41,56,36,76,,,,,0.533,311.0,20.0
Sean Singletary,42,203,189,127,1.0,60.0,128.0,88.0,0.426,1122.0,22.0
Patrick Ewing,43,42,31,110,18.0,21.0,33.0,75.0,0.477,463.0,20.0
Patrick Ewing,43,74,48,143,23.0,33.0,54.0,83.0,0.529,738.0,23.0
Trent Plaisted,46,202,141,269,34.0,15.0,84.0,82.0,0.542,958.0,21.0
Henry Walker,47,181,101,196,17.0,27.0,81.0,101.0,0.465,846.0,20.0
Malik Hairston,48,176,101,150,26.0,19.0,55.0,90.0,0.525,976.0,20.0
Richard Hendrix,49,229,108,324,62.0,41.0,55.0,94.0,0.598,980.0,21.0
DeVon Hardin,50,98,84,221,37.0,17.0,43.0,74.0,0.554,714.0,21.0
Shan Foster,51,242,73,167,8.0,36.0,58.0,66.0,0.523,1147.0,21.0
Darnell Jackson,52,171,103,267,19.0,31.0,51.0,90.0,0.626,971.0,22.0
Maarty Leunen,54,157,112,293,11.0,28.0,50.0,78.0,0.559,1110.0,22.0
Mike Taylor,55,165,88,126,3.0,35.0,168.0,89.0,0.376,1019.0,21.0
Sasha Kaun,56,109,66,154,49.0,17.0,32.0,97.0,0.619,707.0,22.0
James Gist,57,194,115,260,77.0,42.0,90.0,101.0,0.496,1056.0,21.0
Joe Crawford,58,188,99,109,5.0,17.0,83.0,81.0,0.469,1009.0,21.0
Deron Washington,59,147,147,227,22.0,34.0,74.0,103.0,0.416,1159.0,22.0
Blake Griffin,1,300,191,504,41.0,39.0,116.0,89.0,0.654,1165.0,19.0
Hasheem Thabeet,2,178,133,388,152.0,22.0,68.0,90.0,0.64,1145.0,21.0
James Harden,3,221,204,195,11.0,59.0,118.0,99.0,0.489,1254.0,19.0
Tyreke Evans,4,230,138,198,29.0,77.0,133.0,89.0,0.455,1072.0,19.0
Jonny Flynn,6,219,180,104,6.0,54.0,129.0,55.0,0.46,1418.0,19.0
Stephen Curry,7,312,220,151,8.0,86.0,126.0,81.0,0.454,1145.0,20.0
Jordan Hill,8,252,117,375,58.0,30.0,97.0,102.0,0.537,1213.0,21.0
DeMar DeRozan,9,192,95,201,13.0,31.0,73.0,73.0,0.523,1168.0,19.0
Terrence Williams,11,169,68,317,29.0,86.0,86.0,62.0,0.431,1266.0,21.0
Gerald Henderson,12,213,143,183,28.0,46.0,80.0,63.0,0.45,1098.0,21.0
Tyler Hansbrough,13,223,249,276,12.0,42.0,63.0,77.0,0.514,1029.0,23.0
Earl Clark,14,202,90,322,51.0,38.0,119.0,71.0,0.457,1269.0,21.0
Austin Daye,15,159,77,232,70.0,24.0,73.0,97.0,0.477,895.0,20.0
James Johnson,16,187,69,264,48.0,44.0,74.0,91.0,0.542,946.0,21.0
Jrue Holiday,17,112,45,132,18.0,55.0,75.0,75.0,0.45,950.0,18.0
Ty Lawson,18,182,166,104,5.0,75.0,66.0,59.0,0.532,1048.0,21.0
Jeff Teague,19,180,179,102,20.0,58.0,104.0,68.0,0.485,991.0,20.0
Eric Maynor,20,248,198,122,6.0,58.0,101.0,82.0,0.463,1206.0,21.0
Darren Collison,21,175,113,84,5.0,57.0,87.0,53.0,0.509,1103.0,21.0
Byron Mullens,24,120,52,154,37.0,16.0,51.0,68.0,0.638,671.0,19.0
Taj Gibson,26,190,120,316,100.0,34.0,72.0,103.0,0.601,1179.0,23.0
DeMarre Carroll,27,135,52,191,11.0,37.0,54.0,80.0,0.511,873.0,19.0
DeMarre Carroll,27,246,121,273,25.0,59.0,56.0,84.0,0.558,1064.0,22.0
Wayne Ellington,28,215,87,186,6.0,36.0,62.0,57.0,0.483,1155.0,21.0
Toney Douglas,29,179,105,165,3.0,43.0,79.0,78.0,0.424,1103.0,18.0
Toney Douglas,29,239,188,137,15.0,63.0,87.0,76.0,0.446,1279.0,22.0
Jeff Ayres,31,198,113,287,30.0,17.0,43.0,94.0,0.66,1139.0,21.0
Jermaine Taylor,32,291,138,161,24.0,39.0,87.0,55.0,0.48,989.0,22.0
Dante Cunningham,33,244,124,284,47.0,47.0,82.0,103.0,0.525,1199.0,21.0
DaJuan Summers,35,137,97,128,21.0,35.0,81.0,81.0,0.474,910.0,21.0
Sam Young,36,261,114,225,30.0,35.0,88.0,60.0,0.502,1146.0,23.0
DeJuan Blair,37,226,98,432,34.0,54.0,44.0,95.0,0.593,955.0,19.0
Jon Brockman,38,190,126,391,3.0,31.0,65.0,102.0,0.526,1036.0,21.0
Derrick Brown,40,170,100,212,30.0,25.0,61.0,87.0,0.504,1033.0,21.0
Jodie Meeks,41,263,211,122,5.0,48.0,96.0,69.0,0.463,1237.0,21.0
Patrick Beverley,42,136,85,231,16.0,44.0,69.0,85.0,0.412,1183.0,19.0
Marcus Thornton,43,256,149,192,13.0,56.0,64.0,72.0,0.472,1116.0,21.0
Chase Budinger,44,219,125,217,16.0,50.0,85.0,65.0,0.48,1317.0,20.0
Nick Calathes,45,205,135,192,6.0,68.0,119.0,69.0,0.482,1200.0,19.0
Danny Green,46,184,52,178,51.0,67.0,63.0,84.0,0.471,1040.0,21.0
Taylor Griffin,48,125,91,210,36.0,47.0,62.0,100.0,0.536,1081.0,22.0
Goran Suton,50,123,67,269,16.0,36.0,58.0,81.0,0.521,855.0,23.0
Jack McClinton,51,137,88,150,1.0,34.0,79.0,88.0,0.423,969.0,20.0
Jack McClinton,51,200,116,99,1.0,24.0,84.0,52.0,0.449,1030.0,24.0
Robert Vaden,54,150,37,170,6.0,38.0,102.0,86.0,0.436,1066.0,20.0
Robert Vaden,54,207,74,168,21.0,35.0,84.0,61.0,0.397,1240.0,23.0
Patty Mills,55,163,85,62,6.0,57.0,75.0,43.0,0.402,867.0,20.0
Ahmad Nivins,56,205,203,378,56.0,26.0,87.0,70.0,0.612,1259.0,21.0
Lester Hudson,58,313,148,254,18.0,75.0,106.0,86.0,0.449,1153.0,24.0
Chinemelu Elonu,59,129,76,249,53.0,10.0,62.0,95.0,0.665,810.0,21.0
Robert Dozier,60,166,124,277,61.0,47.0,74.0,101.0,0.519,1118.0,23.0
John Wall,1,202,175,159,19.0,66.0,149.0,72.0,0.461,1288.0,19.0
Evan Turner,2,237,138,284,28.0,54.0,136.0,86.0,0.519,1108.0,21.0
Derrick Favors,3,179,90,303,74.0,32.0,90.0,94.0,0.611,989.0,18.0
Wesley Johnson,4,114,60,107,11.0,24.0,57.0,60.0,0.396,730.0,20.0
Wesley Johnson,4,207,112,299,64.0,58.0,81.0,72.0,0.502,1224.0,22.0
DeMarcus Cousins,5,206,162,374,67.0,37.0,78.0,122.0,0.558,893.0,19.0
Ekpe Udoh,6,76,33,160,92.0,27.0,36.0,77.0,0.437,832.0,20.0
Ekpe Udoh,6,191,111,351,133.0,29.0,87.0,87.0,0.49,1264.0,22.0
Greg Monroe,7,202,138,328,52.0,42.0,112.0,87.0,0.525,1164.0,19.0
Al-Farouq Aminu,8,167,139,332,44.0,44.0,99.0,91.0,0.447,970.0,19.0
Gordon Hayward,9,173,179,305,30.0,40.0,85.0,78.0,0.464,1239.0,19.0
Paul George,10,154,120,210,24.0,64.0,94.0,84.0,0.424,962.0,19.0
Cole Aldrich,11,149,108,354,125.0,27.0,56.0,92.0,0.562,963.0,21.0
Xavier Henry,12,162,90,157,18.0,54.0,69.0,66.0,0.458,990.0,18.0
Ed Davis,13,111,87,220,64.0,10.0,46.0,42.0,0.578,641.0,20.0
Patrick Patterson,14,215,90,283,51.0,27.0,41.0,61.0,0.575,1255.0,20.0
Larry Sanders,15,196,107,319,90.0,26.0,58.0,103.0,0.534,941.0,21.0
Luke Babbitt,16,251,199,303,27.0,35.0,81.0,87.0,0.5,1260.0,20.0
Eric Bledsoe,18,144,82,114,12.0,52.0,112.0,82.0,0.462,1122.0,20.0
Avery Bradley,19,159,36,98,18.0,44.0,52.0,80.0,0.432,1003.0,19.0
James Anderson,20,226,209,192,20.0,46.0,78.0,88.0,0.457,1124.0,20.0
Craig Brackins,21,192,117,273,38.0,25.0,68.0,64.0,0.42,1124.0,22.0
Elliot Williams,22,56,23,77,1.0,21.0,29.0,58.0,0.441,563.0,19.0
Elliot Williams,22,178,194,135,4.0,45.0,100.0,69.0,0.459,1133.0,20.0
Trevor Booker,23,188,101,268,45.0,43.0,62.0,63.0,0.521,984.0,22.0
Damion James,24,210,155,350,40.0,57.0,69.0,100.0,0.501,1029.0,22.0
Dominique Jones,25,222,209,201,19.0,56.0,97.0,93.0,0.45,1224.0,21.0
Quincy Pondexter,26,245,187,265,21.0,46.0,68.0,90.0,0.528,1162.0,21.0
Jordan Crawford,27,107,47,101,6.0,28.0,58.0,49.0,0.44,758.0,19.0
Jordan Crawford,27,260,119,166,7.0,47.0,85.0,57.0,0.462,1147.0,21.0
Daniel Orton,29,48,33,126,53.0,21.0,38.0,88.0,0.527,502.0,19.0
Lazar Hayward,30,222,107,256,18.0,64.0,67.0,115.0,0.432,1097.0,23.0
Dexter Pittman,32,140,75,199,63.0,12.0,60.0,90.0,0.654,648.0,21.0
Hassan Whiteside,33,167,110,303,182.0,19.0,64.0,82.0,0.524,889.0,20.0
Armon Johnson,34,219,80,115,12.0,28.0,114.0,61.0,0.495,1172.0,20.0
Terrico White,36,192,85,160,7.0,30.0,45.0,62.0,0.43,1103.0,19.0
Darington Hobson,37,193,130,324,15.0,44.0,104.0,68.0,0.44,1175.0,22.0
Andy Rautins,38,130,66,118,8.0,69.0,98.0,76.0,0.438,1137.0,23.0
Landry Fields,39,248,179,280,25.0,51.0,83.0,65.0,0.49,1161.0,21.0
Lance Stephenson,40,162,79,182,6.0,31.0,81.0,66.0,0.44,960.0,19.0
Jarvis Varnado,41,184,128,369,170.0,24.0,71.0,88.0,0.582,1141.0,21.0
Da'Sean Butler,42,208,168,237,15.0,37.0,68.0,82.0,0.414,1360.0,22.0
Devin Ebanks,43,144,117,275,23.0,36.0,75.0,54.0,0.457,1161.0,20.0
Jerome Jordan,44,184,172,317,82.0,16.0,79.0,98.0,0.549,1043.0,23.0
Gani Lawal,46,172,127,305,49.0,16.0,78.0,76.0,0.529,930.0,21.0
Tiny Gallon,47,122,62,238,23.0,21.0,70.0,85.0,0.547,720.0,19.0
Solomon Alabi,50,133,108,198,75.0,20.0,61.0,75.0,0.534,820.0,21.0
Magnum Rolle,51,50,15,118,31.0,16.0,29.0,57.0,0.431,485.0,20.0
Magnum Rolle,51,189,93,286,71.0,26.0,67.0,95.0,0.514,1025.0,23.0
Luke Harangody,52,244,140,273,20.0,14.0,54.0,70.0,0.481,989.0,22.0
Willie Warren,54,106,101,69,1.0,21.0,80.0,48.0,0.438,678.0,20.0
Jeremy Evans,55,137,64,235,61.0,28.0,36.0,98.0,0.649,901.0,22.0
Ryan Reid,57,82,46,123,16.0,18.0,51.0,46.0,0.491,704.0,23.0
Derrick Caracter,58,111,68,158,31.0,22.0,63.0,107.0,0.552,593.0,19.0
Derrick Caracter,58,148,80,218,23.0,26.0,77.0,82.0,0.567,720.0,21.0
Stanley Robinson,59,203,61,260,41.0,30.0,77.0,52.0,0.525,1163.0,21.0
Dwayne Collins,60,128,91,225,32.0,17.0,71.0,68.0,0.604,716.0,21.0
Kyrie Irving,1,55,64,37,6.0,16.0,27.0,23.0,0.529,303.0,18.0
Derrick Williams,2,226,247,314,26.0,37.0,100.0,106.0,0.595,1141.0,19.0
Tristan Thompson,4,172,127,282,86.0,34.0,64.0,100.0,0.546,1104.0,19.0
Brandon Knight,8,217,136,153,8.0,25.0,120.0,83.0,0.423,1363.0,19.0
Kemba Walker,9,316,258,223,7.0,77.0,93.0,56.0,0.428,1543.0,20.0
Jimmer Fredette,10,346,252,127,1.0,49.0,131.0,49.0,0.452,1323.0,21.0
Klay Thompson,11,240,155,178,32.0,56.0,115.0,99.0,0.436,1179.0,20.0
Alec Burks,12,251,249,247,12.0,41.0,99.0,89.0,0.469,1193.0,19.0
Markieff Morris,13,195,103,316,43.0,30.0,78.0,108.0,0.589,926.0,21.0
Kawhi Leonard,15,211,110,380,21.0,51.0,76.0,89.0,0.444,1172.0,19.0
Iman Shumpert,17,177,141,183,6.0,85.0,72.0,86.0,0.406,992.0,20.0
Chris Singleton,18,124,84,191,41.0,55.0,61.0,90.0,0.434,814.0,21.0
Tobias Harris,19,185,128,247,29.0,24.0,62.0,70.0,0.46,993.0,18.0
Nolan Smith,21,260,187,166,3.0,45.0,118.0,72.0,0.458,1259.0,22.0
Kenneth Faried,22,233,139,508,82.0,67.0,92.0,108.0,0.623,1216.0,21.0
Reggie Jackson,24,219,109,146,18.0,36.0,81.0,58.0,0.503,1161.0,20.0
MarShon Brooks,25,276,169,225,39.0,48.0,98.0,80.0,0.483,1168.0,22.0
Jordan Hamilton,26,243,95,276,23.0,31.0,77.0,64.0,0.44,1159.0,20.0
JaJuan Johnson,27,257,169,291,79.0,30.0,56.0,53.0,0.494,1203.0,21.0
Norris Cole,28,251,227,210,3.0,80.0,97.0,87.0,0.439,1285.0,22.0
Cory Joseph,29,136,51,128,11.0,37.0,54.0,65.0,0.422,1166.0,19.0
Justin Harper,32,245,94,256,46.0,23.0,56.0,82.0,0.534,1178.0,21.0
Kyle Singler,33,219,125,253,12.0,34.0,70.0,98.0,0.43,1286.0,22.0
Shelvin Mack,34,201,120,170,3.0,30.0,93.0,66.0,0.408,1219.0,20.0
Tyler Honeycutt,35,144,78,238,67.0,29.0,100.0,52.0,0.406,1154.0,20.0
Jordan Williams,36,213,131,388,45.0,23.0,53.0,80.0,0.538,1073.0,20.0
Trey Thompkins,37,194,82,229,50.0,33.0,76.0,67.0,0.481,937.0,20.0
Chandler Parsons,38,155,54,279,15.0,34.0,81.0,67.0,0.48,1229.0,22.0
Jon Leuer,40,227,113,246,30.0,17.0,54.0,75.0,0.47,1139.0,21.0
Darius Morris,41,201,108,139,1.0,36.0,103.0,74.0,0.489,1219.0,20.0
Malcolm Lee,43,141,112,101,7.0,22.0,56.0,80.0,0.437,1093.0,20.0
Charles Jenkins,44,249,182,111,22.0,57.0,73.0,66.0,0.517,1232.0,21.0
Josh Harrellson,45,127,33,329,57.0,35.0,28.0,91.0,0.611,1083.0,21.0
Andrew Goudelock,46,318,110,143,7.0,33.0,119.0,66.0,0.455,1302.0,22.0
Travis Leslie,47,177,109,237,20.0,40.0,71.0,63.0,0.492,1062.0,20.0
Keith Benson,48,231,157,354,125.0,28.0,66.0,108.0,0.547,1133.0,22.0
Josh Selby,49,72,28,58,1.0,21.0,53.0,44.0,0.373,530.0,19.0
Lavoy Allen,50,154,69,283,61.0,23.0,54.0,75.0,0.48,1120.0,21.0
Jon Diebler,51,145,64,98,5.0,36.0,35.0,37.0,0.507,1320.0,22.0
Vernon Macklin,52,52,12,72,25.0,8.0,26.0,58.0,0.598,435.0,21.0
Vernon Macklin,52,191,46,199,26.0,13.0,63.0,91.0,0.593,905.0,24.0
DeAndre Liggins,53,112,68,153,28.0,46.0,55.0,94.0,0.424,1201.0,22.0
E'Twaun Moore,55,221,100,175,18.0,41.0,61.0,71.0,0.447,1152.0,21.0
Ater Majok,58,25,9,79,42.0,4.0,21.0,51.0,0.424,383.0,22.0
Isaiah Thomas,60,188,151,123,2.0,47.0,104.0,75.0,0.445,1115.0,21.0
Anthony Davis,1,210,144,415,186.0,54.0,41.0,78.0,0.623,1281.0,18.0
Michael Kidd-Gilchrist,2,160,143,297,37.0,39.0,87.0,97.0,0.491,1245.0,18.0
Bradley Beal,3,175,133,249,31.0,51.0,79.0,76.0,0.445,1267.0,18.0
Dion Waiters,4,170,86,85,12.0,67.0,48.0,69.0,0.476,891.0,20.0
Thomas Robinson,5,261,163,463,34.0,42.0,104.0,107.0,0.505,1242.0,20.0
Damian Lillard,6,231,228,161,7.0,47.0,74.0,62.0,0.467,1105.0,21.0
Harrison Barnes,7,229,141,198,13.0,41.0,74.0,68.0,0.44,1111.0,19.0
Terrence Ross,8,215,72,225,33.0,44.0,70.0,99.0,0.457,1088.0,20.0
Andre Drummond,9,157,26,257,92.0,28.0,52.0,75.0,0.538,967.0,18.0
Austin Rivers,10,174,121,115,1.0,33.0,79.0,76.0,0.433,1129.0,19.0
Meyers Leonard,11,170,93,262,60.0,15.0,68.0,94.0,0.584,1018.0,19.0
Jeremy Lamb,12,217,98,166,21.0,42.0,68.0,57.0,0.478,1266.0,19.0
Kendall Marshall,13,105,55,94,6.0,43.0,101.0,56.0,0.467,1189.0,20.0
John Henson,14,205,69,348,101.0,20.0,45.0,55.0,0.5,1019.0,21.0
Maurice Harkless,15,193,94,276,45.0,51.0,80.0,74.0,0.452,1155.0,18.0
Royce White,16,3,1,4,2.0,2.0,0.0,0.0,0.6,17.0,18.0
Royce White,16,175,102,316,32.0,40.0,130.0,89.0,0.534,1072.0,20.0
Tyler Zeller,17,220,181,365,58.0,34.0,73.0,102.0,0.553,1070.0,22.0
Terrence Jones,18,177,99,272,68.0,49.0,62.0,91.0,0.5,1115.0,20.0
Andrew Nicholson,19,220,128,269,63.0,21.0,80.0,90.0,0.571,962.0,22.0
Jared Sullinger,21,228,175,340,39.0,43.0,71.0,109.0,0.519,1123.0,19.0
Fab Melo,22,98,38,175,88.0,15.0,43.0,85.0,0.566,763.0,21.0
John Jenkins,23,217,128,101,11.0,29.0,55.0,42.0,0.474,1177.0,20.0
Jared Cunningham,24,198,199,138,15.0,91.0,102.0,86.0,0.45,1245.0,20.0
Tony Wroten,25,198,154,176,13.0,66.0,132.0,93.0,0.443,1062.0,18.0
Miles Plumlee,26,89,48,242,32.0,18.0,42.0,78.0,0.61,697.0,23.0
Arnett Moultrie,27,131,54,220,27.0,45.0,70.0,72.0,0.475,955.0,19.0
Arnett Moultrie,27,180,124,314,23.0,25.0,73.0,67.0,0.549,1073.0,21.0
Marquis Teague,29,145,85,101,11.0,37.0,109.0,91.0,0.412,1303.0,18.0
Festus Ezeli,30,89,84,154,52.0,11.0,58.0,82.0,0.539,603.0,22.0
Bernard James,33,157,64,283,82.0,26.0,73.0,68.0,0.606,979.0,26.0
Jae Crowder,34,217,119,294,35.0,88.0,44.0,93.0,0.498,1153.0,21.0
Draymond Green,35,212,125,394,35.0,54.0,112.0,105.0,0.449,1229.0,21.0
Orlando Johnson,36,133,77,152,12.0,18.0,80.0,80.0,0.412,807.0,18.0
Orlando Johnson,36,207,127,179,23.0,34.0,76.0,57.0,0.451,1067.0,22.0
Quincy Acy,37,158,136,282,70.0,35.0,71.0,117.0,0.577,1130.0,21.0
Quincy Miller,38,138,93,182,24.0,25.0,66.0,69.0,0.447,903.0,19.0
Khris Middleton,39,102,39,99,5.0,19.0,43.0,37.0,0.415,575.0,20.0
Will Barton,40,230,134,279,25.0,50.0,75.0,74.0,0.509,1236.0,21.0
Tyshawn Taylor,41,226,137,91,6.0,52.0,138.0,77.0,0.477,1303.0,21.0
Doron Lamb,42,175,123,108,2.0,19.0,44.0,72.0,0.474,1249.0,20.0
Mike Scott,43,215,139,265,15.0,21.0,67.0,56.0,0.563,999.0,23.0
Kim English,44,171,87,148,10.0,45.0,59.0,83.0,0.521,1175.0,23.0
Justin Hamilton,45,74,49,167,33.0,8.0,30.0,71.0,0.617,663.0,19.0
Justin Hamilton,45,158,107,238,43.0,25.0,57.0,83.0,0.494,990.0,21.0
Darius Miller,46,143,55,110,13.0,33.0,58.0,87.0,0.474,1043.0,21.0
Kevin Murphy,47,239,124,173,7.0,28.0,108.0,71.0,0.444,1139.0,21.0
Kyle O'Quinn,49,205,156,372,97.0,25.0,95.0,117.0,0.573,1125.0,21.0
Kris Joseph,51,164,117,174,23.0,50.0,55.0,62.0,0.421,1192.0,23.0
Darius Johnson-Odom,55,210,126,119,4.0,32.0,80.0,68.0,0.447,1120.0,22.0
Robbie Hummel,58,194,113,251,42.0,23.0,32.0,73.0,0.417,1128.0,22.0
Marcus Denmon,59,200,120,176,1.0,54.0,41.0,34.0,0.46,1212.0,21.0
Robert Sacre,60,117,150,208,47.0,12.0,60.0,72.0,0.511,868.0,22.0
Anthony Bennett,1,202,124,285,43.0,24.0,65.0,80.0,0.533,950.0,19.0
Victor Oladipo,2,182,97,227,28.0,78.0,83.0,89.0,0.599,1021.0,20.0
Otto Porter Jr.,3,168,122,232,28.0,57.0,47.0,61.0,0.48,1097.0,19.0
Cody Zeller,4,199,196,289,45.0,37.0,81.0,80.0,0.564,1062.0,20.0
Alex Len,5,173,105,298,78.0,8.0,60.0,101.0,0.534,1004.0,19.0
Nerlens Noel,6,98,55,227,106.0,50.0,45.0,62.0,0.59,765.0,18.0
Ben McLemore,7,198,120,192,25.0,37.0,77.0,69.0,0.495,1191.0,19.0
Kentavious Caldwell-Pope,8,186,135,226,17.0,65.0,64.0,70.0,0.433,1086.0,19.0
Trey Burke,9,259,133,124,20.0,62.0,86.0,73.0,0.463,1378.0,20.0
CJ McCollum,10,96,62,60,4.0,17.0,32.0,21.0,0.495,372.0,21.0
Michael Carter-Williams,11,155,129,199,20.0,109.0,138.0,92.0,0.393,1409.0,21.0
Steven Adams,12,100,31,203,65.0,21.0,35.0,52.0,0.571,749.0,19.0
Kelly Olynyk,13,215,132,235,36.0,22.0,77.0,72.0,0.629,845.0,21.0
Shabazz Muhammad,14,202,128,167,4.0,23.0,51.0,53.0,0.443,987.0,20.0
Shane Larkin,18,183,87,138,4.0,71.0,82.0,59.0,0.479,1311.0,20.0
Tony Snell,20,144,86,92,17.0,29.0,72.0,46.0,0.422,1093.0,21.0
Gorgui Dieng,21,125,73,310,83.0,44.0,59.0,85.0,0.534,1026.0,23.0
Mason Plumlee,22,221,173,358,52.0,36.0,103.0,92.0,0.599,1248.0,22.0
Solomon Hill,23,158,95,187,20.0,40.0,77.0,76.0,0.458,1154.0,21.0
Tim Hardaway Jr.,24,201,77,177,17.0,26.0,71.0,73.0,0.437,1324.0,20.0
Andre Roberson,26,132,54,347,41.0,67.0,74.0,77.0,0.48,1036.0,21.0
Archie Goodwin,29,157,135,152,15.0,36.0,101.0,97.0,0.44,1048.0,18.0
Allen Crabbe,31,215,113,200,23.0,37.0,83.0,69.0,0.459,1195.0,20.0
Carrick Felix,33,189,81,285,39.0,50.0,70.0,105.0,0.5,1235.0,22.0
Isaiah Canaan,34,215,152,110,4.0,47.0,98.0,58.0,0.431,1131.0,21.0
Ray McCallum,36,214,147,167,20.0,64.0,68.0,66.0,0.491,1208.0,21.0
Tony Mitchell,37,140,106,273,87.0,31.0,78.0,93.0,0.44,1037.0,20.0
Nate Wolters,38,242,187,184,4.0,57.0,77.0,51.0,0.485,1256.0,21.0
Jeff Withey,39,185,137,315,146.0,28.0,73.0,77.0,0.582,1144.0,22.0
Grant Jerrett,40,63,18,122,33.0,16.0,19.0,44.0,0.409,606.0,19.0
Jamaal Franklin,41,165,171,304,26.0,51.0,110.0,83.0,0.411,1058.0,21.0
Pierre Jackson,42,216,192,135,0.0,54.0,122.0,80.0,0.427,1252.0,21.0
Mike Muscala,44,227,179,378,80.0,17.0,58.0,74.0,0.509,1079.0,21.0
Erick Green,46,261,218,127,6.0,42.0,69.0,44.0,0.475,1166.0,21.0
Ryan Kelly,48,96,69,122,37.0,16.0,23.0,55.0,0.453,664.0,21.0
Erik Murphy,49,164,40,199,25.0,23.0,51.0,101.0,0.516,952.0,22.0
James Ennis III,50,182,126,221,43.0,58.0,99.0,75.0,0.491,1093.0,22.0
Romero Osby,51,55,26,89,12.0,8.0,34.0,33.0,0.462,457.0,19.0
Romero Osby,51,174,154,225,27.0,20.0,42.0,78.0,0.526,912.0,22.0
Lorenzo Brown,52,140,108,143,19.0,65.0,114.0,65.0,0.419,1129.0,22.0
Colton Iverson,53,58,51,155,20.0,14.0,48.0,72.0,0.446,568.0,21.0
Colton Iverson,53,183,131,342,25.0,20.0,69.0,91.0,0.596,1033.0,23.0
Arsalan Kazemi,54,113,102,350,23.0,71.0,52.0,66.0,0.595,1016.0,22.0
Arsalan Kazemi,54,136,126,340,32.0,69.0,65.0,86.0,0.594,970.0,21.0
Peyton Siva,56,139,85,94,6.0,90.0,106.0,103.0,0.404,1247.0,22.0
