"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')","('Win Shares (Best to Worst)', '8')"
Juan Dixon,,2.0,1.7,1.4,1.2,0.4,0.1,-0.5,
Dave Wohl,84.1,2.1,1.7,1.4,1.0,0.2,0.0,-0.2,
Joe Hassett,82.7,2.0,1.6,1.4,0.9,0.5,0.0,,
Hamidou Diallo,81.1,2.1,1.6,1.3,0.8,0.4,0.0,,
Nelson Bobb,80.5,2.0,1.8,1.2,1.1,,,,
Med Park,78.2,1.9,1.9,1.8,1.6,0.4,,,
Lee Mayberry,77.8,2.1,1.8,1.6,1.6,0.4,0.4,-0.1,
Will Bynum,77.2,1.9,1.7,1.5,1.3,1.0,-0.1,-0.2,-0.2
Jerry Fleishman,76.0,2.2,2.1,1.6,1.3,0.6,,,
Todd Lichti,75.9,1.8,1.3,1.2,1.0,0.2,,,
Sterling Brown,74.6,2.1,1.8,1.1,0.8,0.7,0.0,,
