Season,Team,Lg,Salary
2009-10,Oklahoma City Thunder,NBA,"$4,054,160"
2010-11,Oklahoma City Thunder,NBA,"$4,304,520"
2011-12,Oklahoma City Thunder,NBA,"$4,604,760"
2012-13,Houston Rockets,NBA,"$5,820,417"
2013-14,Houston Rockets,NBA,"$13,701,250"
2014-15,Houston Rockets,NBA,"$14,728,844"
2015-16,Houston Rockets,NBA,"$15,756,438"
2016-17,Houston Rockets,NBA,"$26,540,100"
2017-18,Houston Rockets,NBA,"$28,299,399"
2018-19,Houston Rockets,NBA,"$30,421,854"
2019-20,Houston Rockets,NBA,"$38,199,000"
2020-21,Brooklyn Nets,NBA,"$41,254,920"
2021-22,Philadelphia 76ers,NBA,"$44,310,840"
2022-23,Philadelphia 76ers,NBA,"$33,000,000"
2023-24,Los Angeles Clippers,NBA,"$35,680,595"
2024-25,Los Angeles Clippers,NBA,"$33,653,846"
Career,(may be incomplete),,"$374,330,943"
