0
2011-12 NBA 3.1 (13th)
2012-13 NBA 5.8 (4th)
2013-14 NBA 5.3 (6th)
2014-15 NBA 8.1 (1st)
2015-16 NBA 6.8 (5th)
2016-17 NBA 8.0 (2nd)
2017-18 NBA 7.7 (2nd)
2018-19 NBA 9.3 (1st)
2019-20 NBA 7.3 (1st)
2020-21 NBA 3.7 (15th)
2021-22 NBA 3.7 (15th)
2022-23 NBA 4.0 (13th)
2023-24 NBA 3.8 (16th)
2024-25 NBA 4.4 (9th)
2025-26 NBA .9 (14th)
Active 85.1 (4th)
Career 85.1 (10th)
Career NBA 85.1 (10th)
Career Playoffs 12.9 (15th)
Career NBA Playoffs 12.9 (14th)
Career (Reg+Playoffs) 98.0 (11th)
Career NBA (Reg+Playoffs) 98.0 (11th)
