0
2011-12 NBA 9.3 (6th)
2012-13 NBA 12.8 (4th)
2013-14 NBA 12.8 (5th)
2014-15 NBA 16.4 (1st)
2015-16 NBA 13.3 (6th)
2016-17 NBA 15.0 (1st)
2017-18 NBA 15.4 (1st)
2018-19 NBA 15.2 (1st)
2019-20 NBA 13.1 (1st)
2021-22 NBA 7.6 (20th)
2022-23 NBA 8.4 (18th)
2023-24 NBA 8.4 (20th)
2024-25 NBA 8.3 (18th)
2025-26 NBA 1.6 (20th)
Active 176.3 (4th)
Career 176.3 (19th)
Career NBA 176.3 (16th)
Career Playoffs 22.1 (20th)
Career NBA Playoffs 22.1 (19th)
Career (Reg+Playoffs) 198.4 (17th)
Career NBA (Reg+Playoffs) 198.4 (15th)
