Season,Age,Team,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,eFG%,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,Awards
2024-25,23,NYK,NBA,PG,3,0,6,8.4,8.4,1.0,8.4,8.4,1.0,0.0,0.0,1.5,0.0,0.0,0.0,8.4,8.4,25.1,0.0,0.0,0.0,0.0,25.1,268,118,
1 Yr,1 Yr,1 Yr,1 Yr,,3,0,6,8.4,8.4,1.0,8.4,8.4,1.0,0.0,0.0,1.5,0.0,0.0,0.0,8.4,8.4,25.1,0.0,0.0,0.0,0.0,25.1,268,118,
