"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')","('Win Shares (Best to Worst)', '8')","('Win Shares (Best to Worst)', '9')","('Win Shares (Best to Worst)', '10')","('Win Shares (Best to Worst)', '11')","('Win Shares (Best to Worst)', '12')","('Win Shares (Best to Worst)', '13')","('Win Shares (Best to Worst)', '14')","('Win Shares (Best to Worst)', '15')","('Win Shares (Best to Worst)', '16')"
Cody Zeller,,6.3,5.6,3.9,3.8,3.6,3.3,2.6,1.9,1.1,0.8,0.7,,,,,
Greg Ostertag,91.7,5.9,5.0,4.2,3.8,3.8,3.4,2.2,2.1,1.4,1.3,0.7,,,,,
Tony Battie,89.8,6.2,5.8,3.8,3.8,3.3,2.8,2.7,2.3,2.3,2.0,0.6,0.5,0.5,0.0,,
Richaun Holmes,88.8,6.1,4.9,4.3,3.8,3.2,2.8,2.0,1.5,1.3,0.8,,,,,,
Kent Benson,88.0,6.4,5.2,4.7,3.3,3.2,3.2,3.1,1.7,1.7,1.1,0.0,,,,,
Alton Lister,85.9,5.5,5.3,4.1,4.1,4.0,3.8,3.7,1.9,1.7,1.0,0.9,0.4,0.3,0.1,0.0,-0.2
Channing Frye,85.7,6.4,5.3,4.7,3.7,3.7,3.5,3.2,3.0,2.1,1.5,0.9,0.8,0.1,,,
Chris Andersen,84.5,6.0,5.9,5.4,4.5,3.6,3.2,2.7,2.4,1.9,1.3,1.3,1.1,0.3,0.2,0.0,
Wayne Embry,84.4,6.7,6.3,5.6,4.5,3.4,3.4,2.0,1.9,1.5,1.2,1.1,,,,,
Steve Hawes,84.4,6.1,6.0,5.7,5.4,3.4,3.2,2.5,1.9,1.8,1.0,,,,,,
Ervin Johnson,84.4,6.4,5.2,5.1,4.9,3.9,3.0,2.3,2.3,1.9,1.3,0.8,0.7,0.0,,,
