"('Unnamed: 0_level_0', 'Season')","('Unnamed: 1_level_0', 'Age')","('Unnamed: 2_level_0', 'Team')","('Unnamed: 3_level_0', 'Lg')","('Unnamed: 4_level_0', 'Pos')","('Unnamed: 5_level_0', 'G')","('Unnamed: 6_level_0', 'GS')","('Unnamed: 7_level_0', 'MP')","('Unnamed: 8_level_0', 'FG%')","('Unnamed: 9_level_0', 'Dist.')","('% of FGA by Distance', '2P')","('% of FGA by Distance', '0-3')","('% of FGA by Distance', '3-10')","('% of FGA by Distance', '10-16')","('% of FGA by Distance', '16-3P')","('% of FGA by Distance', '3P')","('FG% by Distance', '2P')","('FG% by Distance', '0-3')","('FG% by Distance', '3-10')","('FG% by Distance', '10-16')","('FG% by Distance', '16-3P')","('Unnamed: 21_level_0', '2P')","('Dunks', '%FGA')","('Dunks', '#')","('1/2 Court', 'Att.')","('1/2 Court', 'Md.')","('Unnamed: 26_level_0', 'Awards')"
2011-12,22,PHI,NBA,PF,12.0,1.0,236.0,0.557,10.3,1.0,0.279,0.164,0.213,0.344,0.0,0.557,0.824,0.3,0.462,0.524,0.794,0.066,4.0,0.0,0.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-14,24,IND,NBA,PF,4.0,0.0,15.0,0.5,11.4,1.0,0.25,0.25,0.0,0.5,0.0,0.5,1.0,0.0,,0.5,1.0,0.0,0.0,0.0,0.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-16,26,IND,NBA,PF,6.0,3.0,51.0,0.3,7.6,1.0,0.4,0.3,0.0,0.3,0.0,0.3,0.25,0.333,,0.333,1.0,0.1,1.0,0.0,0.0,
2016-17,27,IND,NBA,PF,3.0,0.0,11.0,,,,,,,,,,,,,,,,0.0,0.0,0.0,
4 Yrs,4 Yrs,4 Yrs,4 Yrs,,25.0,4.0,313.0,0.52,9.7,1.0,0.293,0.187,0.173,0.347,0.0,0.52,0.727,0.286,0.462,0.5,0.821,0.067,5.0,0.0,0.0,
82 Game Avg,82 Game Avg,82 Game Avg,82 Game Avg,,82.0,13.0,1027.0,0.52,,1.0,0.293,0.187,0.173,0.347,0.0,0.52,0.727,0.286,0.462,0.5,0.821,0.067,16.0,0.0,0.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,
IND (3 Yrs),IND (3 Yrs),IND (3 Yrs),IND (3 Yrs),,13.0,3.0,77.0,0.357,9.5,1.0,0.357,0.286,0.0,0.357,0.0,0.357,0.4,0.25,,0.4,1.0,0.071,1.0,0.0,0.0,
PHI (1 Yr),PHI (1 Yr),PHI (1 Yr),PHI (1 Yr),,12.0,1.0,236.0,0.557,10.3,1.0,0.279,0.164,0.213,0.344,0.0,0.557,0.824,0.3,0.462,0.524,0.794,0.066,4.0,0.0,0.0,
