"('Thru 6 Years', 'Player')","('Thru 6 Years', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')"
Lavoy Allen,,3.7,2.8,2.5,1.7,1.6,1.5
George Lynch,92.1,3.9,2.6,2.5,1.7,1.5,0.9
Tim Bassett,91.7,3.7,2.6,2.4,1.5,1.4,1.1
Etan Thomas,91.2,4.5,2.7,2.5,1.6,1.6,1.3
Derrick Williams,91.1,3.6,3.0,2.6,2.1,1.8,1.1
Frank Kaminsky,91.0,3.6,3.3,2.3,2.0,1.8,1.4
Don Ford,90.2,3.5,2.8,2.5,2.0,1.5,0.6
Reggie Evans,89.1,3.8,3.0,2.7,2.3,2.1,1.7
Othella Harrington,89.0,3.0,3.0,2.5,2.2,1.7,1.4
Lawrence Funderburke,87.3,3.7,3.1,2.1,1.9,1.6,0.5
P.J. Washington,86.9,3.4,2.7,2.6,2.4,2.0,1.9
