Season,Age,Team,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,Awards
2011-12,22,PHI,NBA,PF,12.0,1.0,236.0,7.8,14.0,0.557,0.0,0.0,7.8,14.0,0.557,0.557,1.6,2.8,0.583,4.8,8.7,13.6,0.7,2.3,2.5,1.1,6.9,17.2,116.0,95.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-14,24,IND,NBA,PF,4.0,0.0,15.0,7.2,14.5,0.5,0.0,0.0,7.2,14.5,0.5,0.5,0.0,0.0,,3.6,14.5,18.1,3.6,0.0,0.0,0.0,3.6,14.5,119.0,105.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-16,26,IND,NBA,PF,6.0,3.0,51.0,3.2,10.6,0.3,0.0,0.0,3.2,10.6,0.3,0.3,0.0,0.0,,4.2,10.6,14.8,2.1,1.1,1.1,1.1,2.1,6.4,85.0,102.0,
2016-17,27,IND,NBA,PF,3.0,0.0,11.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,0.0,0.0,,0.0,9.2,9.2,0.0,0.0,0.0,4.6,0.0,0.0,0.0,123.0,
4 Yrs,4 Yrs,4 Yrs,4 Yrs,,25.0,4.0,313.0,6.7,13.0,0.52,0.0,0.0,6.7,13.0,0.52,0.52,1.2,2.1,0.583,4.5,9.3,13.8,1.0,1.9,2.1,1.2,5.7,14.7,110.0,97.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IND (3 Yrs),IND (3 Yrs),IND (3 Yrs),IND (3 Yrs),,13.0,3.0,77.0,3.5,9.7,0.357,0.0,0.0,3.5,9.7,0.357,0.357,0.0,0.0,,3.5,11.1,14.6,2.1,0.7,0.7,1.4,2.1,7.0,88.0,106.0,
PHI (1 Yr),PHI (1 Yr),PHI (1 Yr),PHI (1 Yr),,12.0,1.0,236.0,7.8,14.0,0.557,0.0,0.0,7.8,14.0,0.557,0.557,1.6,2.8,0.583,4.8,8.7,13.6,0.7,2.3,2.5,1.1,6.9,17.2,116.0,95.0,
