Season,Age,Team,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards
2018-19,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league
2019-20,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league
2020-21,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league
2021-22,40,BOS,NBA,SG,1,0,2,18.0,18.0,1.000,0.0,0.0,,18.0,18.0,1.000,1.000,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,
,,,,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards
18 Yrs,18 Yrs,18 Yrs,18 Yrs,,1277,1091,44236,6.4,14.4,.441,1.6,4.3,.371,4.8,10.1,.472,.497,2.3,2.8,.802,0.9,3.2,4.1,4.1,0.9,0.2,2.0,1.8,16.6,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATL (7 Yrs),ATL (7 Yrs),ATL (7 Yrs),ATL (7 Yrs),,508,508,19733,7.3,16.3,.449,1.7,4.6,.363,5.7,11.7,.482,.500,3.1,3.8,.808,0.9,3.0,3.9,4.8,0.9,0.2,2.3,1.8,19.3,
BRK (4 Yrs),BRK (4 Yrs),BRK (4 Yrs),BRK (4 Yrs),,288,288,9942,5.8,13.4,.432,1.9,4.9,.378,3.9,8.5,.464,.502,1.9,2.3,.819,0.7,3.3,4.0,3.6,0.7,0.1,1.8,1.6,15.4,
PHO (4 Yrs),PHO (4 Yrs),PHO (4 Yrs),PHO (4 Yrs),,275,220,9739,5.7,13.1,.432,1.3,3.3,.393,4.4,9.9,.445,.481,1.6,2.1,.757,1.1,3.3,4.4,3.6,1.0,0.3,1.8,2.0,14.2,
UTA (2 Yrs),UTA (2 Yrs),UTA (2 Yrs),UTA (2 Yrs),,110,17,2543,5.2,12.1,.432,1.8,4.8,.377,3.4,7.2,.469,.508,1.2,1.4,.822,0.6,4.3,5.0,2.7,0.7,0.3,1.4,1.8,13.4,
BOS (2 Yrs),BOS (2 Yrs),BOS (2 Yrs),BOS (2 Yrs),,49,33,1005,4.7,10.6,.441,0.9,3.2,.273,3.8,7.5,.512,.481,0.7,0.9,.769,1.4,3.5,5.0,2.7,1.2,0.3,1.0,2.1,11.0,
MIA (1 Yr),MIA (1 Yr),MIA (1 Yr),MIA (1 Yr),,24,24,769,6.1,11.8,.518,1.6,3.9,.417,4.4,7.8,.569,.588,1.2,1.6,.765,0.7,2.5,3.2,4.0,1.0,0.1,2.0,2.2,15.0,
HOU (1 Yr),HOU (1 Yr),HOU (1 Yr),HOU (1 Yr),,23,1,505,3.6,9.6,.381,1.2,4.3,.279,2.4,5.2,.466,.444,1.4,1.5,.952,0.1,4.5,4.6,2.7,0.4,0.1,1.3,2.5,9.9,
