"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')","('Win Shares (Best to Worst)', '8')","('Win Shares (Best to Worst)', '9')","('Win Shares (Best to Worst)', '10')","('Win Shares (Best to Worst)', '11')","('Win Shares (Best to Worst)', '12')","('Win Shares (Best to Worst)', '13')"
Jerryd Bayless,,4.0,2.7,2.4,2.4,2.4,2.0,1.6,1.1,0.3,0.0,-0.1,,
Evan Turner,90.0,4.0,2.6,2.5,2.4,2.3,2.1,2.0,1.4,1.2,-0.3,,,
Tony Snell,88.7,3.4,3.2,2.6,2.4,2.4,2.0,1.6,0.4,0.4,,,,
Torrey Craig,88.1,4.0,3.0,2.3,2.2,2.0,1.9,0.9,0.8,,,,,
John Battle,85.4,4.0,3.2,2.3,2.0,1.7,1.5,1.4,1.0,0.5,0.2,,,
Danny Young,84.3,4.8,3.0,2.9,2.4,1.9,1.8,1.8,1.4,0.2,-0.1,,,
Tyronn Lue,83.6,3.7,3.7,2.7,2.5,2.1,2.0,1.2,0.8,0.4,0.3,0.2,,
Fatty Taylor,83.4,3.7,3.0,2.6,2.6,2.1,1.3,1.2,0.4,,,,,
Dudley Bradley,83.3,3.9,3.1,2.4,1.9,1.7,1.4,1.1,1.0,0.0,,,,
Earl Watson,83.1,2.9,2.7,2.6,2.3,2.3,2.0,1.8,1.5,1.0,0.4,0.0,-0.1,-0.2
Clint Richardson,83.0,3.3,3.1,2.4,2.1,1.9,1.8,1.1,1.0,,,,,
