"('Thru 8 Years', 'Player')","('Thru 8 Years', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')","('Win Shares (Best to Worst)', '8')"
Luke Kennard,,4.5,3.9,3.4,2.7,2.6,2.5,2.1,1.9
Mike Glenn,94.1,4.4,3.9,2.9,2.9,2.8,2.8,2.1,1.9
Scott Brooks,91.5,4.6,3.3,2.9,2.7,2.6,2.1,1.9,1.6
Ernie Grunfeld,90.7,4.3,4.3,3.5,2.5,2.4,2.2,1.6,1.4
Guy Rodgers,90.6,4.8,4.3,4.0,2.8,2.5,2.4,2.3,2.1
Bogdan BogdanoviÄ,90.1,3.9,3.9,3.7,3.1,2.9,2.8,2.7,1.9
Randy Foye,89.8,4.6,3.7,3.2,3.1,2.3,2.2,1.7,1.1
Jordan Clarkson,89.3,4.2,3.5,3.4,3.0,2.4,2.1,1.8,1.2
T.J. McConnell,88.8,4.8,3.8,3.8,3.3,3.1,2.9,1.9,1.3
Henry Bibby,87.3,4.7,4.1,3.7,3.4,2.9,2.3,1.5,1.0
Norman Powell,87.2,4.7,4.6,3.5,2.8,2.8,2.4,1.6,0.6
