Season,Age,Team,Lg,Pos,G,GS,MP,FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Trp-Dbl,Awards
2013-14,23,GSW,NBA,C,3,0,8,0,0,0,0,0,0,0,0,1,3,4,0,0,0,0,2,0,0,
1 Yr,1 Yr,1 Yr,1 Yr,,3,0,8,0,0,0,0,0,0,0,0,1,3,4,0,0,0,0,2,0,0,
82 Game Avg,82 Game Avg,82 Game Avg,82 Game Avg,,82,0,219,0,0,0,0,0,0,0,0,27,82,109,0,0,0,0,55,0,0,
