"('Unnamed: 0_level_0', 'Season')","('Unnamed: 1_level_0', 'Age')","('Unnamed: 2_level_0', 'Team')","('Unnamed: 3_level_0', 'Lg')","('Unnamed: 4_level_0', 'Pos')","('Unnamed: 5_level_0', 'G')","('Unnamed: 6_level_0', 'GS')","('Unnamed: 7_level_0', 'MP')","('Unnamed: 8_level_0', 'FG%')","('Unnamed: 9_level_0', 'Dist.')","('% of FGA by Distance', '2P')","('% of FGA by Distance', '0-3')","('% of FGA by Distance', '3-10')","('% of FGA by Distance', '10-16')","('% of FGA by Distance', '16-3P')","('% of FGA by Distance', '3P')","('FG% by Distance', '2P')","('FG% by Distance', '0-3')","('FG% by Distance', '3-10')","('FG% by Distance', '10-16')","('FG% by Distance', '16-3P')","('Unnamed: 21_level_0', '2P')","('Dunks', '%FGA')","('Dunks', '#')","('1/2 Court', 'Att.')","('1/2 Court', 'Md.')","('Unnamed: 26_level_0', 'Awards')"
2007-08,25,2TM,NBA,SF,16.0,4.0,303.0,0.451,6.8,1.0,0.507,0.183,0.042,0.268,0.0,0.451,0.583,0.154,0.333,0.421,0.844,0.155,10.0,0.0,0.0,
2007-08,25,GSW,NBA,SF,1.0,0.0,0.0,,,,,,,,,,,,,,,,0.0,0.0,0.0,
2007-08,25,MIA,NBA,PF,15.0,4.0,303.0,0.451,6.8,1.0,0.507,0.183,0.042,0.268,0.0,0.451,0.583,0.154,0.333,0.421,0.844,0.155,10.0,0.0,0.0,
1 Yr,1 Yr,1 Yr,1 Yr,,16.0,4.0,303.0,0.451,6.8,1.0,0.507,0.183,0.042,0.268,0.0,0.451,0.583,0.154,0.333,0.421,0.844,0.155,10.0,0.0,0.0,
82 Game Avg,82 Game Avg,82 Game Avg,82 Game Avg,,82.0,21.0,1553.0,0.451,,1.0,0.507,0.183,0.042,0.268,0.0,0.451,0.583,0.154,0.333,0.421,0.844,0.155,51.0,0.0,0.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,
MIA (1 Yr),MIA (1 Yr),MIA (1 Yr),MIA (1 Yr),,15.0,4.0,303.0,0.451,6.8,1.0,0.507,0.183,0.042,0.268,0.0,0.451,0.583,0.154,0.333,0.421,0.844,0.155,10.0,0.0,0.0,
GSW (1 Yr),GSW (1 Yr),GSW (1 Yr),GSW (1 Yr),,1.0,0.0,0.0,,,,,,,,,,,,,,,,0.0,0.0,0.0,
