"('Thru 14 Years', 'Player')","('Thru 14 Years', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')","('Win Shares (Best to Worst)', '8')","('Win Shares (Best to Worst)', '9')","('Win Shares (Best to Worst)', '10')","('Win Shares (Best to Worst)', '11')","('Win Shares (Best to Worst)', '12')","('Win Shares (Best to Worst)', '13')","('Win Shares (Best to Worst)', '14')"
Shaun Livingston,,4.6,4.4,3.3,2.6,2.6,2.4,2.0,1.9,1.8,1.3,1.3,1.2,0.4,0.1
Steve Blake,86.9,5.8,3.8,3.3,2.8,2.4,2.1,2.1,1.8,1.8,1.1,1.0,0.7,0.3,
Ernie Grunfeld,85.4,4.3,4.3,3.5,2.7,2.5,2.4,2.2,1.6,1.4,,,,,
Tim Hardaway Jr.,84.5,4.8,4.4,4.3,3.5,3.1,2.6,2.3,2.2,2.0,1.9,1.8,0.8,,
C.J. Miles,84.3,4.0,3.6,3.1,2.9,2.9,2.6,2.5,2.5,1.9,1.9,1.5,0.7,0.3,-0.5
Cory Joseph,83.9,4.5,3.5,3.5,3.4,3.1,2.9,2.5,2.3,2.1,1.8,1.5,0.9,0.2,0.0
Eric Piatkowski,83.1,5.5,4.5,3.9,3.6,2.3,2.3,2.3,2.3,2.0,1.2,0.9,0.1,0.1,0.0
Jeremy Lamb,82.3,5.3,4.9,3.3,2.7,2.7,2.7,2.1,1.6,1.2,0.2,,,,
Lucious Harris,82.2,5.1,4.7,4.1,3.1,2.8,2.5,2.1,1.3,1.1,0.8,0.6,0.4,,
Bill Hanzlik,82.1,4.7,4.1,3.5,2.9,2.4,2.2,1.9,1.3,1.0,0.7,,,,
Mike Glenn,81.8,4.4,3.9,2.9,2.9,2.8,2.8,2.1,1.9,1.5,0.1,,,,
