Season,Age,Team,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,2P,2PA,2P%,eFG%,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,Awards
2011-12,23,GSW,NBA,C,3,0,9,0.0,5.8,0.0,0.0,0.0,0.0,5.8,0.0,0.0,0.0,0.0,11.6,5.8,17.3,0.0,0.0,0.0,0.0,0.0,0.0,98,115,
1 Yr,1 Yr,1 Yr,1 Yr,,3,0,9,0.0,5.8,0.0,0.0,0.0,0.0,5.8,0.0,0.0,0.0,0.0,11.6,5.8,17.3,0.0,0.0,0.0,0.0,0.0,0.0,98,115,
