"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')","('Win Shares (Best to Worst)', '8')","('Win Shares (Best to Worst)', '9')"
Deyonta Davis,,2.7,0.5,0.4,,,,,,
Sean Williams,84.6,2.5,0.4,0.3,-0.2,,,,,
Dave Hoppen,81.0,2.6,0.8,0.2,0.0,0.0,-0.1,,,
Evan Eschmeyer,78.8,2.5,0.7,0.5,0.2,,,,,
George Johnson,75.7,2.4,0.3,0.2,0.1,,,,,
Omer Yurtseven,73.2,2.1,0.7,0.3,,,,,,
Michael Stewart,72.8,3.0,0.7,0.2,0.2,0.2,0.1,0.1,0.1,
Chris Anstey,66.4,1.9,0.6,0.3,,,,,,
Gustavo AyÃ³n,65.0,3.2,1.2,0.7,,,,,,
Jack Haley,64.0,2.2,0.4,0.3,0.2,0.1,0.0,0.0,0.0,-0.3
Gene Conley,61.1,2.8,2.1,0.4,0.0,0.0,-0.1,,,
