"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')","('Win Shares (Best to Worst)', '8')","('Win Shares (Best to Worst)', '9')","('Win Shares (Best to Worst)', '10')"
Desmond Bane,,7.2,6.5,5.8,3.1,2.9,,,,,
Andrew Toney,86.3,7.3,6.4,5.5,4.0,2.2,1.2,0.5,-0.2,,
Tyrese Maxey,85.8,8.1,7.3,5.4,3.8,1.9,,,,,
Johnny Moore,85.7,7.2,6.6,5.8,3.8,3.2,2.1,1.2,0.3,-0.1,
Eric Murdock,83.5,7.2,6.1,4.3,4.1,2.5,0.6,0.4,0.3,0.1,
Phil Ford,83.0,6.1,5.7,5.2,2.9,2.4,0.9,0.2,,,
Austin Reaves,82.5,7.6,5.9,5.4,2.9,,,,,,
Larry Brown,82.4,6.6,5.8,5.1,5.0,2.4,,,,,
Ja Morant,82.4,6.7,6.0,3.8,3.5,3.2,0.8,,,,
Ronnie Brewer,82.3,7.8,6.8,5.4,3.9,3.7,1.7,1.1,0.0,,
Ralph Simpson,81.9,7.2,7.2,6.3,4.2,2.3,1.2,1.1,-0.1,-0.2,-0.2
