"('Thru 5 Years', 'Player')","('Thru 5 Years', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')"
Desmond Bane,,7.2,6.5,5.8,3.1,2.9
Johnny Moore,96.2,7.2,6.6,5.8,3.8,3.2
Devin Harris,94.7,7.5,6.5,5.6,3.7,2.7
Dick Barnett,93.0,8.0,6.5,5.8,3.4,2.2
Andrew Toney,92.2,7.3,6.4,5.5,4.0,2.2
Jason Richardson,91.3,7.3,5.7,5.2,3.7,2.9
Frankie Brian,88.9,9.2,6.1,5.6,3.0,2.7
Ronnie Brewer,88.7,7.8,6.8,5.4,3.7,1.7
George King,88.7,8.1,6.4,6.3,3.8,3.8
Slater Martin,88.5,8.2,6.3,6.1,4.2,3.5
Fred Scolari,87.7,8.5,5.6,5.4,3.4,3.1
