"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')"
Zion Williamson,,8.7,7.5,3.6,2.5,2.0,,
John Brisker,87.4,8.2,6.3,3.1,2.3,1.7,0.5,
Marvin Barnes,83.8,8.6,7.6,2.0,1.3,1.0,0.1,
Onyeka Okongwu,82.3,7.2,7.1,4.5,4.2,1.9,,
Reggie King,82.2,8.3,6.2,4.8,3.4,1.6,0.5,
Art Heyman,78.7,8.5,6.1,2.7,1.3,0.6,0.0,
Leo Mogus,78.5,8.0,7.7,5.0,1.2,,,
Doug Moe,75.5,9.4,5.2,4.8,4.3,1.8,,
Les Hunter,75.4,8.4,5.6,4.9,2.7,2.2,2.1,-0.5
Fred Schaus,74.6,8.5,8.4,6.8,4.0,3.7,,
Isaiah Hartenstein,74.3,8.1,6.8,5.5,4.6,1.6,1.1,0.5
