"('Thru 5 Years', 'Player')","('Thru 5 Years', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')"
Zion Williamson,,8.7,7.5,3.6,2.5,2.0
Nick Anderson,92.6,7.7,7.6,3.6,3.1,1.8
Metta World Peace,91.2,8.0,7.2,2.7,2.3,1.9
Bob Gross,89.3,7.4,7.1,3.8,2.9,1.7
John Brisker,88.9,8.2,6.3,3.1,2.3,1.7
Anderson Varej̣o,88.2,8.0,6.6,3.0,2.4,2.3
Lamar Odom,86.4,8.4,6.5,3.2,2.2,0.7
Jae Crowder,86.3,7.3,6.7,3.9,2.3,1.5
David West,84.8,8.4,7.4,5.2,2.8,0.2
Antonio McDyess,84.4,9.4,6.2,4.2,3.6,1.8
Marvin Barnes,84.2,8.6,7.6,2.0,1.3,1.0
