"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')"
Dominique Jones,,0.2,0.0,0.0,
Dwight Buycks,71.9,0.2,0.1,0.0,
Gerald Madkins,66.8,0.3,0.1,0.0,
Lindell Wigginton,50.9,0.2,0.1,0.0,
Michael Hawkins,48.9,0.2,0.0,0.0,0.0
R.J. Hunter,48.4,0.3,0.1,0.0,0.0
Axel Toupane,42.7,0.3,0.1,0.1,
Awvee Storey,42.2,0.2,0.1,0.0,
Ron Harper Jr.,41.8,0.2,0.0,0.0,
Devon Dotson,41.3,0.2,0.1,0.0,
Michael Phelps,40.6,0.3,0.1,-0.1,
