"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')"
Demetrius Jackson,,0.2,0.1,-0.1
Devon Dotson,59.3,0.2,0.1,0.0
Dave Jamerson,58.4,0.2,0.1,-0.1
Charles Bradley,48.5,0.2,0.2,-0.1
Mike Price,47.9,0.2,0.2,0.1
Jay Arnette,47.5,0.1,0.1,-0.1
A.J. Guyton,47.1,0.3,0.1,-0.1
Brad Holland,43.5,0.3,0.1,-0.1
Awvee Storey,43.5,0.2,0.1,0.0
Lindell Wigginton,41.0,0.2,0.1,0.0
Russ Lee,40.4,0.3,0.2,0.0
