"('Thru 3 Years', 'Player')","('Thru 3 Years', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')"
Maciej Lampe,,0.1,-0.1,-0.2
Dennis Bell,66.8,0.1,0.0,0.0
Mouhamed Sene,56.5,0.2,0.2,0.0
Brian Evans,54.7,1.5,0.1,0.1
Brian Cardinal,48.7,0.2,0.0,0.0
Mark Randall,45.6,0.5,0.3,0.2
Jacky Dorsey,38.2,0.2,0.2,-0.1
David Thirdkill,36.3,0.3,0.0,0.0
Alando Tucker,34.6,0.2,0.1,0.0
Doug Edwards,32.4,0.2,0.1,0.0
Cedric Simmons,32.2,0.3,0.0,-0.2
