"('Unnamed: 0_level_0', 'Season')","('Unnamed: 1_level_0', 'Age')","('Unnamed: 2_level_0', 'Team')","('Unnamed: 3_level_0', 'Lg')","('Unnamed: 4_level_0', 'Pos')","('Unnamed: 5_level_0', 'G')","('Unnamed: 6_level_0', 'GS')","('Unnamed: 7_level_0', 'MP')","('Unnamed: 8_level_0', 'FG%')","('Unnamed: 9_level_0', 'Dist.')","('% of FGA by Distance', '2P')","('% of FGA by Distance', '0-3')","('% of FGA by Distance', '3-10')","('% of FGA by Distance', '10-16')","('% of FGA by Distance', '16-3P')","('% of FGA by Distance', '3P')","('FG% by Distance', '2P')","('FG% by Distance', '0-3')","('FG% by Distance', '3-10')","('FG% by Distance', '10-16')","('FG% by Distance', '16-3P')","('FG% by Distance', '3P')","(""% of FG Ast'd"", '2P')","(""% of FG Ast'd"", '3P')","('Dunks', '%FGA')","('Dunks', '#')","('Unnamed: 26_level_0', '%3PA')","('1/2 Court', 'Att.')","('1/2 Court', 'Md.')","('Unnamed: 29_level_0', 'Awards')"
2005-06,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league
2006-07,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league
2007-08,23,ORL,NBA,C,6,0,41,.471,3.9,1.000,.647,.235,.059,.059,.000,.471,.636,.250,.000,.000,,.625,,.118,2,,0,0,
2008-09,24,ORL,NBA,PF,63,3,794,.567,4.3,.995,.594,.225,.128,.048,.005,.565,.676,.452,.375,.222,1.000,.724,1.000,.086,14,.000,0,0,
2009-10,25,ORL,NBA,C,81,0,1088,.533,4.1,.987,.604,.238,.115,.031,.013,.540,.635,.519,.154,.286,.000,.793,,.141,31,.000,0,0,
2010-11,26,2TM,NBA,C,80,14,2032,.561,6.0,.993,.439,.323,.148,.083,.007,.563,.743,.400,.494,.360,.250,.769,1.000,.111,60,.000,1,0,6MOY-9
2010-11,26,ORL,NBA,C,25,2,396,.543,5.6,1.000,.457,.321,.160,.062,.000,.543,.730,.346,.462,.400,,.659,,.074,6,,0,0,
2010-11,26,PHO,NBA,C,55,12,1636,.563,6.3,.992,.437,.324,.146,.086,.008,.566,.746,.408,.500,.356,.250,.785,1.000,.117,54,.000,1,0,
2011-12,27,PHO,NBA,C,66,66,2114,.555,6.0,.997,.428,.352,.161,.056,.003,.557,.736,.435,.387,.442,.000,.796,,.066,49,.000,0,0,
2012-13,28,PHO,NBA,C,61,61,1876,.521,6.5,.995,.447,.283,.171,.094,.005,.524,.704,.369,.381,.396,.000,.729,,.087,45,.000,0,0,
2013-14,29,WAS,NBA,C,81,80,2655,.542,6.7,.999,.390,.320,.215,.073,.001,.541,.753,.405,.425,.344,1.000,.683,1.000,.058,46,.000,0,0,
2014-15,30,WAS,NBA,C,82,82,2453,.566,5.6,.996,.475,.274,.186,.062,.004,.569,.739,.410,.438,.354,.000,.768,,.077,58,.000,0,0,
2015-16,31,WAS,NBA,C,75,74,2256,.567,5.3,.999,.452,.313,.195,.039,.001,.567,.704,.490,.403,.433,.000,.794,,.067,48,.000,0,0,
2016-17,32,WAS,NBA,C,82,82,2556,.579,5.0,.997,.522,.312,.141,.022,.003,.580,.702,.486,.368,.400,.000,.710,,.083,46,.000,0,0,
2017-18,33,WAS,NBA,C,82,82,2075,.518,5.5,1.000,.411,.352,.216,.021,.000,.518,.652,.437,.421,.250,,.755,,.066,28,,0,0,
2018-19,34,LAC,NBA,C,47,43,751,.532,4.9,1.000,.500,.312,.177,.011,.000,.532,.645,.466,.333,.500,,.818,,.070,9,,0,0,
12 Yrs,12 Yrs,12 Yrs,12 Yrs,,806,587,20691,.551,5.3,.997,.458,.310,.176,.054,.003,.553,.710,.435,.405,.372,.150,.753,1.000,.078,436,.000,1,0,
82 Game Avg,82 Game Avg,82 Game Avg,82 Game Avg,,82,60,2105,.551,5.3,.997,.458,.310,.176,.054,.003,.553,.710,.435,.405,.372,.150,.753,1.000,.078,44,.000,0,0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WAS (5 Yrs),WAS (5 Yrs),WAS (5 Yrs),WAS (5 Yrs),,402,400,11995,.555,5.6,.998,.449,.312,.191,.046,.002,.556,.714,.445,.414,.361,.143,.741,1.000,.070,226,.000,0,0,
ORL (4 Yrs),ORL (4 Yrs),ORL (4 Yrs),ORL (4 Yrs),,175,5,2319,.545,4.5,.992,.578,.246,.125,.043,.008,.547,.662,.452,.297,.273,.250,.741,1.000,.109,53,.000,0,0,
PHO (3 Yrs),PHO (3 Yrs),PHO (3 Yrs),PHO (3 Yrs),,182,139,5626,.547,6.3,.995,.436,.323,.160,.076,.005,.549,.728,.410,.414,.397,.111,.773,1.000,.087,148,.000,1,0,
LAC (1 Yr),LAC (1 Yr),LAC (1 Yr),LAC (1 Yr),,47,43,751,.532,4.9,1.000,.500,.312,.177,.011,.000,.532,.645,.466,.333,.500,,.818,,.070,9,,0,0,
